3rd Down Conversion Pct Defense
Through Games 12/05/2015
  Rank Name                           G W-L             Opp 3rd Conv      Opp 3rd Att         Pct 
     1 Boston College                12 3-9                       42              174       0.241 
     2 Clemson                       13 13-0                      47              189       0.249 
     3 Michigan                      12 9-3                       43              168       0.256 
     4 Tennessee                     12 8-4                       49              177       0.277 
     5 San Diego St.                 13 10-3                      49              176       0.278 
     6 Alabama                       13 12-1                      55              197       0.279 
     7 TCU                           12 10-2                      54              193       0.280 
     8 Vanderbilt                    12 4-8                       49              174       0.282 
     9 Georgia                       12 9-3                       53              179       0.296 
    10 Wisconsin                     12 9-3                       54              175       0.309 
    11 Northwestern                  12 10-2                      60              194       0.309 
    12 Florida                       13 10-3                      61              197       0.310 
    13 Temple                        13 10-3                      60              192       0.313 
    14 Illinois                      12 5-7                       58              185       0.314 
    15 West Virginia                 12 7-5                       60              188       0.319 
    16 Boise St.                     12 8-4                       59              182       0.324 
    17 Ohio                          12 8-4                       53              162       0.327 
    18 Notre Dame                    12 10-2                      56              170       0.329 
    19 Texas A&M                     12 8-4                       60              182       0.330 
    20 North Carolina St.            12 7-5                       54              162       0.333 
    21 Arkansas St.                  12 9-3                       61              182       0.335 
    22 Nebraska                      12 5-7                       59              176       0.335 
    23 Virginia Tech                 12 6-6                       58              172       0.337 
    24 LSU                           11 8-3                       50              148       0.338 
    25 Kent St.                      12 3-9                       66              194       0.340 
    26 Utah St.                      12 6-6                       61              179       0.341 
    27 Central Mich.                 12 7-5                       55              161       0.342 
    28 Marshall                      12 9-3                       70              203       0.345 
    29 Colorado St.                  12 7-5                       56              162       0.346 
    30 Baylor                        12 9-3                       65              188       0.346 
    31 La.-Monroe                    13 2-11                      71              205       0.346 
    32 Ohio St.                      12 11-1                      69              199       0.347 
    33 Maryland                      12 3-9                       61              175       0.349 
    34 Appalachian St.               12 10-2                      63              180       0.350 
    35 Michigan St.                  13 12-1                      61              174       0.351 
    36 Miami (OH)                    12 3-9                       60              171       0.351 
       Cincinnati                    12 7-5                       60              171       0.351 
    38 Air Force                     13 8-5                       66              187       0.353 
    39 Ga. Southern                  12 8-4                       53              150       0.353 
    40 Wake Forest                   12 3-9                       58              164       0.354 
    41 Mississippi St.               12 8-4                       65              183       0.355 
       Louisville                    12 7-5                       65              183       0.355 
    43 UTEP                          12 5-7                       55              154       0.357 
    44 Southern California           13 8-5                       62              173       0.358 
    45 Southern Miss.                13 9-4                       73              203       0.360 
    46 Troy                          12 4-8                       68              189       0.360 
    47 Georgia Tech                  12 3-9                       56              155       0.361 
    48 Duke                          12 7-5                       67              184       0.364 
    49 Memphis                       12 9-3                       66              181       0.365 
    50 Washington                    12 6-6                       69              189       0.365 
    51 Akron                         12 7-5                       60              163       0.368 
       Pittsburgh                    12 8-4                       60              163       0.368 
    53 Syracuse                      12 4-8                       59              160       0.369 
    54 Stanford                      13 11-2                      65              176       0.369 
    55 Virginia                      12 4-8                       58              157       0.369 
    56 Iowa                          13 12-1                      74              200       0.370 
    57 Florida St.                   12 10-2                      69              186       0.371 
    58 Houston                       13 12-1                      73              196       0.372 
    59 Penn St.                      12 7-5                       66              177       0.373 
    60 Western Ky.                   13 11-2                      69              185       0.373 
    61 South Fla.                    12 8-4                       74              195       0.379 
    62 Middle Tenn.                  12 7-5                       72              189       0.381 
    63 UConn                         12 6-6                       66              173       0.382 
    64 UCLA                          12 8-4                       79              206       0.383 
    65 San Jose St.                  12 5-7                       61              159       0.384 
    66 BYU                           12 9-3                       71              185       0.384 
    67 Arizona St.                   12 6-6                       75              195       0.385 
    68 Utah                          12 9-3                       68              176       0.386 
    69 Ole Miss                      12 9-3                       82              210       0.390 
    70 Missouri                      12 5-7                       75              191       0.393 
