3rd Down Conversion Pct
Through Games 12/05/2015
  Rank Name                           G W-L             3rd Att    3rd Conv         Pct 
     1 Texas Tech                    12 7-5                 183          95       0.519 
     2 Cincinnati                    12 7-5                 182          94       0.516 
     3 Stanford                      13 11-2                172          88       0.512 
     4 Navy                          11 9-2                 145          74       0.510 
     5 Bowling Green                 13 10-3                196         100       0.510 
     6 Michigan St.                  13 12-1                188          95       0.505 
     7 Houston                       13 12-1                209         104       0.498 
     8 Rice                          12 5-7                 189          94       0.497 
     9 Western Ky.                   13 11-2                169          84       0.497 
    10 Memphis                       12 9-3                 188          93       0.495 
    11 San Jose St.                  12 5-7                 167          81       0.485 
    12 Clemson                       13 13-0                197          94       0.477 
    13 Western Mich.                 12 7-5                 160          76       0.475 
    14 North Carolina                13 11-2                151          71       0.470 
    15 Southern Miss.                13 9-4                 193          90       0.466 
    16 Toledo                        11 9-2                 174          81       0.466 
    17 California                    12 7-5                 167          77       0.461 
    18 Arkansas                      12 7-5                 150          69       0.460 
    19 Tennessee                     12 8-4                 193          88       0.456 
    20 TCU                           12 10-2                180          82       0.456 
    21 Baylor                        12 9-3                 178          81       0.455 
    22 Georgia St.                   12 6-6                 176          80       0.455 
    23 UCLA                          12 8-4                 183          83       0.454 
    24 Colorado St.                  12 7-5                 171          77       0.450 
    25 Tulsa                         12 6-6                 211          95       0.450 
    26 Army West Point               11 2-9                 143          64       0.448 
    27 Michigan                      12 9-3                 174          77       0.443 
    28 Oklahoma St.                  12 10-2                177          78       0.441 
    29 Oklahoma                      12 11-1                168          74       0.440 
    30 Duke                          12 7-5                 196          86       0.439 
    31 Pittsburgh                    12 8-4                 174          76       0.437 
    32 Central Mich.                 12 7-5                 179          78       0.436 
    33 Nebraska                      12 5-7                 170          74       0.435 
    34 Texas A&M                     12 8-4                 190          82       0.432 
    35 East Carolina                 12 5-7                 186          80       0.430 
    36 Appalachian St.               12 10-2                156          67       0.429 
    37 Iowa                          13 12-1                175          75       0.429 
       Notre Dame                    12 10-2                147          63       0.429 
    39 Air Force                     13 8-5                 185          79       0.427 
    40 Middle Tenn.                  12 7-5                 183          78       0.426 
    41 Virginia                      12 4-8                 174          74       0.425 
    42 FIU                           12 5-7                 179          76       0.425 
    43 Ohio                          12 8-4                 182          77       0.423 
    44 Arizona St.                   12 6-6                 212          89       0.420 
    45 Northwestern                  12 10-2                215          90       0.419 
    46 Mississippi St.               12 8-4                 158          66       0.418 
    47 Arizona                       12 6-6                 180          75       0.417 
       North Carolina St.            12 7-5                 180          75       0.417 
    49 Utah                          12 9-3                 185          77       0.416 
    50 Idaho                         12 4-8                 183          76       0.415 
    51 Temple                        13 10-3                196          81       0.413 
    52 Washington St.                12 8-4                 175          72       0.411 
    53 Ole Miss                      12 9-3                 156          64       0.410 
    54 Auburn                        12 6-6                 166          68       0.410 
    55 Wisconsin                     12 9-3                 169          69       0.408 
    56 UTSA                          12 3-9                 185          75       0.405 
    57 Oregon                        12 9-3                 163          66       0.405 
    58 Ga. Southern                  12 8-4                 164          66       0.402 
