4th Down Conversion Pct Defense
Through Games 12/05/2015
  Rank Name                           G W-L             Opp 4th Conv      Opp 4th Att         Pct 
     1 Penn St.                      12 7-5                        2               12       0.167 
     2 Memphis                       12 9-3                        3               16       0.188 
     3 Boston College                12 3-9                        1                5       0.200 
     4 Wisconsin                     12 9-3                        4               17       0.235 
       Vanderbilt                    12 4-8                        4               17       0.235 
     6 Texas A&M                     12 8-4                        3               12       0.250 
     7 Ga. Southern                  12 8-4                        5               17       0.294 
     8 South Ala.                    12 5-7                        4               13       0.308 
     9 Ole Miss                      12 9-3                        7               22       0.318 
    10 Arkansas St.                  12 9-3                        5               15       0.333 
       North Carolina St.            12 7-5                        3                9       0.333 
       New Mexico                    12 7-5                        7               21       0.333 
    13 Nebraska                      12 5-7                        8               23       0.348 
    14 Western Mich.                 12 7-5                        7               20       0.350 
    15 Alabama                       13 12-1                       6               17       0.353 
    16 Ohio St.                      12 11-1                       8               22       0.364 
       Rutgers                       12 4-8                        8               22       0.364 
    18 Marshall                      12 9-3                        9               24       0.375 
       Washington St.                12 8-4                        9               24       0.375 
    20 UNLV                          12 3-9                        8               21       0.381 
       Southern California           13 8-5                        8               21       0.381 
    22 Baylor                        12 9-3                        9               23       0.391 
    23 UConn                         12 6-6                        9               22       0.409 
       Kansas St.                    12 6-6                        9               22       0.409 
       Michigan                      12 9-3                        9               22       0.409 
    26 Pittsburgh                    12 8-4                        5               12       0.417 
       Oklahoma                      12 11-1                       5               12       0.417 
    28 Duke                          12 7-5                        8               19       0.421 
    29 Buffalo                       12 5-7                       12               28       0.429 
       Northwestern                  12 10-2                       9               21       0.429 
       Iowa St.                      12 3-9                        6               14       0.429 
       Akron                         12 7-5                        9               21       0.429 
    33 FIU                           12 5-7                        7               16       0.438 
       Texas Tech                    12 7-5                        7               16       0.438 
    35 Toledo                        11 9-2                        8               18       0.444 
       West Virginia                 12 7-5                       12               27       0.444 
       Wake Forest                   12 3-9                        4                9       0.444 
    38 Bowling Green                 13 10-3                      13               29       0.448 
    39 Arkansas                      12 7-5                        9               20       0.450 
       Clemson                       13 13-0                       9               20       0.450 
       Middle Tenn.                  12 7-5                        9               20       0.450 
    42 Missouri                      12 5-7                        5               11       0.455 
    43 LSU                           11 8-3                       11               24       0.458 
    44 Miami (FL)                    12 8-4                        6               13       0.462 
    45 UTEP                          12 5-7                        7               15       0.467 
       Miami (OH)                    12 3-9                        7               15       0.467 
