Fewest Penalty Yards Per Game
Through Games 12/05/2015
  Rank Name                           G W-L           Penalties      PYards         YPG 
     1 Navy                          11 9-2                  35         299       27.18 
     2 Georgia Tech                  12 3-9                  38         329       27.42 
     3 San Jose St.                  12 5-7                  52         416       34.67 
     4 Ball St.                      12 3-9                  44         425       35.42 
     5 Old Dominion                  12 5-7                  49         437       36.42 
     6 Tennessee                     12 8-4                  58         440       36.67 
     7 Air Force                     13 8-5                  49         485       37.31 
     8 Mississippi St.               12 8-4                  48         451       37.58 
     9 Arkansas                      12 7-5                  53         457       38.08 
    10 Washington St.                12 8-4                  65         462       38.50 
    11 South Carolina                12 3-9                  60         468       39.00 
    12 Fresno St.                    12 3-9                  59         471       39.25 
    13 Arizona St.                   12 6-6                  54         473       39.42 
    14 Kansas St.                    12 6-6                  62         480       40.00 
    15 Northwestern                  12 10-2                 55         481       40.08 
    16 Army West Point               11 2-9                  46         446       40.55 
    17 Iowa St.                      12 3-9                  59         489       40.75 
    18 Penn St.                      12 7-5                  61         490       40.83 
    19 Louisiana Tech                12 8-4                  59         500       41.67 
    20 UTEP                          12 5-7                  57         503       41.92 
    21 Middle Tenn.                  12 7-5                  57         510       42.50 
    22 Idaho                         12 4-8                  54         512       42.67 
    23 Missouri                      12 5-7                  63         517       43.08 
    24 Michigan St.                  13 12-1                 69         567       43.62 
    25 Pittsburgh                    12 8-4                  64         525       43.75 
    26 Stanford                      13 11-2                 68         578       44.46 
    27 UNLV                          12 3-9                  57         538       44.83 
    28 California                    12 7-5                  62         539       44.92 
    29 UCF                           12 0-12                 64         541       45.08 
    30 Georgia                       12 9-3                  62         547       45.58 
    31 Duke                          12 7-5                  66         554       46.17 
    32 Wake Forest                   12 3-9                  61         557       46.42 
    33 Auburn                        12 6-6                  59         558       46.50 
    34 Vanderbilt                    12 4-8                  73         566       47.17 
       Notre Dame                    12 10-2                 64         566       47.17 
    36 North Carolina                13 11-2                 75         616       47.38 
    37 UConn                         12 6-6                  71         570       47.50 
    38 Syracuse                      12 4-8                  64         577       48.08 
    39 Clemson                       13 13-0                 75         627       48.23 
    40 Oklahoma St.                  12 10-2                 68         580       48.33 
    41 Ga. Southern                  12 8-4                  62         584       48.67 
    42 Iowa                          13 12-1                 66         633       48.69 
    43 Minnesota                     12 5-7                  72         586       48.83 
    44 Nevada                        12 6-6                  65         588       49.00 
    45 Illinois                      12 5-7                  66         589       49.08 
    46 FIU                           12 5-7                  69         594       49.50 
    47 Washington                    12 6-6                  66         601       50.08 
    48 Arizona                       12 6-6                  70         603       50.25 
    49 SMU                           12 2-10                 65         604       50.33 
    50 Ohio St.                      12 11-1                 72         611       50.92 
    51 Northern Ill.                 13 8-5                  75         665       51.15 
    52 Utah                          12 9-3                  65         617       51.42 
    53 Florida                       13 10-3                 84         671       51.62 
    54 Rutgers                       12 4-8                  79         624       52.00 
    55 Boise St.                     12 8-4                  74         626       52.17 
    56 Ole Miss                      12 9-3                  74         627       52.25 
    57 Texas A&M                     12 8-4                  74         628       52.33 
    58 Florida St.                   12 10-2                 83         636       53.00 
    59 North Carolina St.            12 7-5                  68         637       53.08 
    60 Tulane                        12 3-9                  70         641       53.42 
    61 Purdue                        12 2-10                 65         647       53.92 
       South Fla.                    12 8-4                  70         647       53.92 
    63 Wisconsin                     12 9-3                  70         653       54.42 
    64 Appalachian St.               12 10-2                 75         659       54.92 
    65 Western Mich.                 12 7-5                  72         666       55.50 
    66 Colorado                      13 4-9                  80         724       55.69 
    67 Texas St.                     12 3-9                  73         671       55.92 
    68 Kansas                        12 0-12                 70         674       56.17 
    69 Kentucky                      12 5-7                  69         676       56.33 
    70 Central Mich.                 12 7-5                  78         678       56.50 
    71 Wyoming                       12 2-10                 75         681       56.75 
       North Texas                   12 1-11                 74         681       56.75 
    73 Temple                        13 10-3                 77         743       57.15 
    74 Tulsa                         12 6-6                  85         686       57.17 
    75 Western Ky.                   13 11-2                 74         744       57.23 
    76 Fla. Atlantic                 12 3-9                  75         687       57.25 
