Kickoff Return Defense
Through Games 12/05/2015
  Rank Name                           G W-L          Opp KO Ret   Opp KO Ret Yds Opp Kick Ret TDs         Avg 
     1 Memphis                       12 9-3                  21              313                0       14.90 
     2 Ga. Southern                  12 8-4                  33              493                0       14.94 
     3 Florida St.                   12 10-2                 32              520                0       16.25 
     4 La.-Monroe                    13 2-11                 49              799                0       16.31 
     5 Ohio St.                      12 11-1                 45              753                0       16.73 
     6 Northern Ill.                 13 8-5                  58              972                0       16.76 
     7 Wisconsin                     12 9-3                  50              844                0       16.88 
     8 Marshall                      12 9-3                  27              457                0       16.93 
     9 Akron                         12 7-5                  40              687                0       17.18 
    10 Troy                          12 4-8                  28              490                0       17.50 
    11 Kansas St.                    12 6-6                  50              886                0       17.72 
    12 Mississippi St.               12 8-4                  40              710                0       17.75 
    13 Army West Point               11 2-9                  28              499                0       17.82 
    14 Ball St.                      12 3-9                  39              703                0       18.03 
    15 Tennessee                     12 8-4                  43              784                0       18.23 
    16 Vanderbilt                    12 4-8                  31              571                0       18.42 
    17 Nebraska                      12 5-7                  41              757                0       18.46 
    18 Ohio                          12 8-4                  58             1079                0       18.60 
    19 Alabama                       13 12-1                 37              689                0       18.62 
    20 Rutgers                       12 4-8                  44              825                0       18.75 
    21 Arkansas St.                  12 9-3                  46              865                1       18.80 
    22 Pittsburgh                    12 8-4                  23              434                0       18.87 
    23 Southern Miss.                13 9-4                  72             1370                1       19.03 
    24 South Carolina                12 3-9                  15              286                0       19.07 
    25 North Carolina                13 11-2                 42              804                0       19.14 
    26 Western Ky.                   13 11-2                 90             1727                1       19.19 
    27 Texas A&M                     12 8-4                  36              691                0       19.19 
    28 Miami (OH)                    12 3-9                  38              730                0       19.21 
    29 FIU                           12 5-7                  42              808                0       19.24 
    30 Toledo                        11 9-2                  67             1289                1       19.24 
    31 Ole Miss                      12 9-3                  39              754                0       19.33 
    32 Iowa St.                      12 3-9                  47              913                1       19.43 
    33 TCU                           12 10-2                 30              592                0       19.73 
    34 Duke                          12 7-5                  42              831                2       19.79 
