Kickoff Returns
Through Games 12/05/2015
  Rank Name                           G W-L              KO Ret  KO Ret Yds     Kick Ret TDs         Avg 
     1 Tennessee                     12 8-4                  27         902                3       33.41 
     2 Michigan                      12 9-3                  27         767                1       28.41 
     3 South Fla.                    12 8-4                  35         988                1       28.23 
     4 Auburn                        12 6-6                  33         923                0       27.97 
     5 Marshall                      12 9-3                  28         777                2       27.75 
     6 Kansas St.                    12 6-6                  42        1154                4       27.48 
     7 San Diego St.                 13 10-3                 33         888                2       26.91 
     8 North Carolina St.            12 7-5                  34         906                1       26.65 
     9 West Virginia                 12 7-5                  32         820                1       25.63 
    10 Florida St.                   12 10-2                 21         538                0       25.62 
    11 Duke                          12 7-5                  31         794                3       25.61 
    12 Northwestern                  12 10-2                 30         765                2       25.50 
       Ball St.                      12 3-9                  50        1275                1       25.50 
    14 Utah St.                      12 6-6                  29         739                1       25.48 
    15 Ga. Southern                  12 8-4                  38         964                0       25.37 
    16 Oregon                        12 9-3                  53        1336                1       25.21 
    17 Colorado St.                  12 7-5                  30         756                1       25.20 
    18 Boston College                12 3-9                  32         806                0       25.19 
    19 Stanford                      13 11-2                 49        1220                1       24.90 
    20 Arkansas St.                  12 9-3                  36         887                1       24.64 
    21 TCU                           12 10-2                 35         857                0       24.49 
    22 South Ala.                    12 5-7                  40         967                1       24.18 
    23 Navy                          11 9-2                  28         667                0       23.82 
    24 Pittsburgh                    12 8-4                  35         826                1       23.60 
    25 Wyoming                       12 2-10                 33         776                0       23.52 
    26 South Carolina                12 3-9                  34         796                1       23.41 
    27 Southern Miss.                13 9-4                  37         865                1       23.38 
    28 Northern Ill.                 13 8-5                  50        1168                1       23.36 
    29 Iowa                          13 12-1                 28         653                0       23.32 
    30 Notre Dame                    12 10-2                 33         765                1       23.18 
    31 Houston                       13 12-1                 32         740                2       23.13 
    32 Ohio St.                      12 11-1                 14         322                0       23.00 
    33 San Jose St.                  12 5-7                  29         666                0       22.97 
    34 UCF                           12 0-12                 65        1492                0       22.95 
    35 New Mexico                    12 7-5                  33         755                1       22.88 
    36 Georgia St.                   12 6-6                  35         796                1       22.74 
    37 Baylor                        12 9-3                  29         657                0       22.66 
    38 UCLA                          12 8-4                  43         972                0       22.60 
    39 Memphis                       12 9-3                  43         962                0       22.37 
    40 SMU                           12 2-10                 56        1246                1       22.25 
    41 Nevada                        12 6-6                  26         570                0       21.92 
    42 Colorado                      13 4-9                  34         745                0       21.91 
    43 Arizona                       12 6-6                  30         657                0       21.90 
    44 Utah                          12 9-3                  19         416                1       21.89 
    45 Western Ky.                   13 11-2                 33         721                1       21.85 
    46 Penn St.                      12 7-5                  40         873                0       21.83 
    47 Texas Tech                    12 7-5                  47        1024                2       21.79 
    48 Clemson                       13 13-0                 35         762                0       21.77 
    49 Kentucky                      12 5-7                  30         653                0       21.77 
    50 Arizona St.                   12 6-6                  47        1023                1       21.77 
    51 Western Mich.                 12 7-5                  46         997                1       21.67 
    52 Maryland                      12 3-9                  48        1039                1       21.65 
    53 Toledo                        11 9-2                  38         822                0       21.63 
    54 Virginia Tech                 12 6-6                  29         626                0       21.59 
    55 Rutgers                       12 4-8                  51        1093                3       21.43 
    56 Rice                          12 5-7                  41         876                0       21.37 
    57 Appalachian St.               12 10-2                 34         726                0       21.35 
    58 Mississippi St.               12 8-4                  33         704                1       21.33 
    59 Hawaii                        13 3-10                 53        1130                1       21.32 
    60 Fla. Atlantic                 12 3-9                  40         851                0       21.28 
