Net Punting
Through Games 12/05/2015
  Rank Name                           G W-L            Punt Yds Opp Punt Ret Yds       Punts          TB     Net Yds 
     1 Utah                          12 9-3                2628               66          55           8       43.67 
     2 Colorado St.                  12 7-5                2317              136          51           1       42.37 
     3 San Jose St.                  12 5-7                2049              126          43           6       41.93 
     4 Florida                       13 10-3               3549              118          80           4       41.89 
     5 Fla. Atlantic                 12 3-9                2512              116          56           3       41.71 
     6 Hawaii                        13 3-10               3631              209          81           3       41.51 
     7 Oklahoma                      12 11-1               2162                7          51           2       41.47 
     8 South Carolina                12 3-9                2434               81          55           4       41.33 
     9 Wake Forest                   12 3-9                3286              132          75           3       41.25 
    10 Texas A&M                     12 8-4                2630              192          55           9       41.05 
    11 UCF                           12 0-12               3328              203          75           3       40.87 
    12 Texas St.                     12 3-9                2879              174          65           4       40.38 
    13 Arkansas St.                  12 9-3                2875               50          67           6       40.37 
    14 West Virginia                 12 7-5                2996               56          66          14       40.30 
    15 Ohio St.                      12 11-1               2476               43          57           7       40.23 
    16 Memphis                       12 9-3                2251               61          51           7       40.20 
    17 Syracuse                      12 4-8                2903              119          67           5       40.06 
    18 Missouri                      12 5-7                3477              178          81           3       39.99 
    19 Florida St.                   12 10-2               2484              189          56           3       39.91 
    20 Western Mich.                 12 7-5                1681               25          40           3       39.90 
    21 New Mexico                    12 7-5                2665               72          64           2       39.89 
    22 Arizona                       12 6-6                2229               76          51           6       39.86 
    23 Boston College                12 3-9                3838               53          92           6       39.84 
    24 Marshall                      12 9-3                3028              116          69           9       39.59 
    25 Baylor                        12 9-3                1684               28          42           0       39.43 
    26 Arizona St.                   12 6-6                3005              248          70           0       39.39 
    27 North Carolina St.            12 7-5                2615               54          62           6       39.37 
    28 Texas                         12 5-7                3179               50          77           5       39.34 
    29 Idaho                         12 4-8                2241              183          51           3       39.18 
    30 Bowling Green                 13 10-3               2233              254          49           3       39.16 
    31 Tennessee                     12 8-4                2659              214          59           7       39.07 
    32 Virginia Tech                 12 6-6                2841               51          67           9       38.96 
    33 Ole Miss                      12 9-3                1987              104          48           1       38.81 
    34 La.-Lafayette                 12 4-8                2501               94          60           4       38.78 
    35 Notre Dame                    12 10-2               2238              121          51           7       38.76 
    36 Appalachian St.               12 10-2               2095              117          48           6       38.71 
    37 Cincinnati                    12 7-5                1888              105          43           6       38.67 
    38 Houston                       13 12-1               2293               29          57           3       38.67 
    39 South Fla.                    12 8-4                2491              169          58           4       38.66 
    40 East Carolina                 12 5-7                2639               46          64           6       38.64 
    41 Wyoming                       12 2-10               2800               97          68           4       38.57 
    42 Duke                          12 7-5                2616               42          60          13       38.57 
    43 Tulsa                         12 6-6                2580               55          63           5       38.49 
    44 Oregon St.                    12 2-10               2958              167          72           1       38.49 
    45 Rice                          12 5-7                2544              237          59           2       38.42 
    46 Virginia                      12 4-8                2353              180          54           5       38.39 
    47 Minnesota                     12 5-7                3060              299          71           2       38.32 
    48 Stanford                      13 11-2               1850               55          45           4       38.11 
    49 Nebraska                      12 5-7                2537              207          58           6       38.10 
    50 Oklahoma St.                  12 10-2               2743               94          68           3       38.07 
    51 California                    12 7-5                1831               62          45           3       37.98 
    52 Louisville                    12 7-5                2534               57          64           3       37.77 
    53 Army West Point               11 2-9                1754               76          44           1       37.68 
    54 North Texas                   12 1-11               3200              181          76           8       37.62 
    55 Ball St.                      12 3-9                2616              136          66           0       37.58 
    56 Eastern Mich.                 12 1-11               2227              143          55           1       37.53 
    57 Georgia St.                   12 6-6                2528              197          60           4       37.52 
    58 Auburn                        12 6-6                2135               87          52           5       37.46 
    59 Pittsburgh                    12 8-4                2512               87          61           7       37.46 
    60 Northwestern                  12 10-2               3030               32          79           2       37.44 
    61 Kent St.                      12 3-9                3854              234          93           7       37.42 
    62 Washington                    12 6-6                2278               80          55           7       37.42 
    63 Utah St.                      12 6-6                2707              148          67           3       37.30 
    64 Fresno St.                    12 3-9                2826              230          68           3       37.29 
    65 Ga. Southern                  12 8-4                1541               29          39           3       37.23 
    66 Miami (FL)                    12 8-4                2583              230          60           6       37.22 
    67 Clemson                       13 13-0               2313               85          60           0       37.13 
    68 Kansas St.                    12 6-6                2793              127          67           9       37.10 
    69 Massachusetts                 12 3-9                2762              214          66           5       37.09 
    70 Boise St.                     12 8-4                2202              137          53           5       37.08 
    71 San Diego St.                 13 10-3               2965              100          73           8       37.05 
    72 UNLV                          12 3-9                2804              182          67           7       37.04 
    73 Nevada                        12 6-6                2649              199          64           4       37.03 
    74 BYU                           12 9-3                2541              260          60           3       37.02 
    75 UCLA                          12 8-4                2310               52          60           2       36.97 
    76 Texas Tech                    12 7-5                1834              239          41           4       36.95 
    77 Temple                        13 10-3               2493              136          60           7       36.95 
    78 Iowa St.                      12 3-9                2424               94          62           2       36.94 
    79 Akron                         12 7-5                2937               92          73           8       36.78 
    80 Ohio                          12 8-4                2408               50          62           4       36.74 
    81 Colorado                      13 4-9                2648              130          68           1       36.74 
    82 Western Ky.                   13 11-2               1857              130          46           2       36.67 
    83 TCU                           12 10-2               2420               32          63           4       36.63 
    84 Iowa                          13 12-1               2468              117          62           4       36.63 
    85 UTEP                          12 5-7                3003              276          69          10       36.62 
    86 Air Force                     13 8-5                2172               62          56           3       36.61 
    87 Purdue                        12 2-10               2645              135          67           3       36.57 
    88 Central Mich.                 12 7-5                2330               76          60           3       36.57 
    89 Arkansas                      12 7-5                1733              122          43           2       36.53 
    90 Alabama                       13 12-1               2544              241          59           8       36.32 
    91 Indiana                       12 6-6                2416              175          59           5       36.29 
    92 Mississippi St.               12 8-4                2072              125          50           7       36.14 
    93 Penn St.                      12 7-5                2963              154          75           5       36.12 
    94 FIU                           12 5-7                2530              155          63           5       36.11 
    95 Michigan                      12 9-3                2188              161          54           4       36.06 
    96 Troy                          12 4-8                2556              190          62           7       35.90 
    97 Louisiana Tech                12 8-4                2087              145          53           2       35.89 
    98 Georgia Tech                  12 3-9                1793              109          47           0       35.83 
    99 UTSA                          12 3-9                2609              132          67           4       35.78 
   100 Miami (OH)                    12 3-9                3181              172          83           2       35.77 
   101 Georgia                       12 9-3                2418              152          60           6       35.77 
   102 Buffalo                       12 5-7                2664              187          66           6       35.71 
   103 Wisconsin                     12 9-3                2549               68          65           8       35.71 
   104 Old Dominion                  12 5-7                2553              235          64           2       35.59 
   105 Toledo                        11 9-2                1487               79          39           1       35.59 
   106 North Carolina                13 11-2               1595               44          42           3       35.50 
   107 Southern California           13 8-5                2456              236          61           3       35.41 
   108 Southern Miss.                13 9-4                1689               95          44           2       35.32 
   109 Maryland                      12 3-9                2606               96          70           2       35.29 
   110 Kentucky                      12 5-7                2495              235          63           2       35.24 
   111 Rutgers                       12 4-8                2476              172          62           6       35.23 
   112 Michigan St.                  13 12-1               2215              189          53           8       35.21 
   113 LSU                           11 8-3                2207              208          54           5       35.17 
   114 Navy                          11 9-2                1255              121          30           4       35.13 
   115 UConn                         12 6-6                2651               45          71           6       35.01 
   116 New Mexico St.                12 3-9                2854              293          72           4       34.46 
   117 Kansas                        12 0-12               3280              244          87           3       34.21 
   118 Northern Ill.                 13 8-5                2592              112          70           5       34.00 
   119 Vanderbilt                    12 4-8                3277              468          82           3       33.52 
   120 Illinois                      12 5-7                3005              297          75          10       33.44 
   121 South Ala.                    12 5-7                3037              434          74           7       33.28 
   122 SMU                           12 2-10               2557              290          67           2       33.24 
   123 Washington St.                12 8-4                1640              179          42           4       32.88 
   124 Oregon                        12 9-3                1808              264          47           2       32.00 
   125 Tulane                        12 3-9                2974              340          82           1       31.88 
   126 La.-Monroe                    13 2-11               3192              273          90           3       31.77 
   127 Middle Tenn.                  12 7-5                2219              229          60           5       31.50 
Reclassifying
    NR Charlotte                     12 2-10               2895               95          77           3       35.58 
