Passes Intercepted
Through Games 12/05/2015
  Rank Name                           G W-L            Opp Pass     Opp Int      Int Ret Yds      Int Ret TDs 
     1 Arkansas St.                  12 9-3                 455          26              503                6 
     2 West Virginia                 12 7-5                 395          23               80                1 
     3 Boise St.                     12 8-4                 390          22              211                2 
     4 Northern Ill.                 13 8-5                 478          21              362                2 
     5 San Diego St.                 13 10-3                350          20              251                3 
       Bowling Green                 13 10-3                484          20              245                1 
     7 Oklahoma                      12 11-1                405          19              317                2 
       Utah                          12 9-3                 435          19              231                1 
     9 Iowa                          13 12-1                472          18              321                4 
    10 Ga. Southern                  12 8-4                 331          17              178                0 
       UConn                         12 6-6                 365          17              185                1 
       Western Ky.                   13 11-2                438          17              133                1 
       Houston                       13 12-1                452          17              322                3 
    14 Appalachian St.               12 10-2                345          16              269                3 
       Louisville                    12 7-5                 373          16              229                1 
       Oklahoma St.                  12 10-2                398          16              228                2 
       Alabama                       13 12-1                409          16              441                4 
       North Carolina                13 11-2                417          16              196                0 
       Temple                        13 10-3                438          16              301                2 
       Middle Tenn.                  12 7-5                 455          16              349                3 
    21 Miami (FL)                    12 8-4                 361          15              172                0 
       BYU                           12 9-3                 391          15              231                2 
       Washington                    12 6-6                 399          15              358                2 
       South Fla.                    12 8-4                 401          15              190                1 
       Michigan St.                  13 12-1                415          15              164                2 
       Ole Miss                      12 9-3                 488          15              356                4 
    27 Clemson                       13 13-0                369          14              127                2 
       Fla. Atlantic                 12 3-9                 373          14              347                3 
       California                    12 7-5                 387          14               65                2 
       Florida                       13 10-3                394          14              247                2 
       UTSA                          12 3-9                 410          14              218                2 
       Texas Tech                    12 7-5                 418          14              167                2 
       Southern California           13 8-5                 428          14              284                2 
       Marshall                      12 9-3                 433          14              214                2 
       Georgia St.                   12 6-6                 434          14              130                1 
       Colorado                      13 4-9                 435          14              262                1 
    37 Boston College                12 3-9                 334          13               63                1 
       New Mexico                    12 7-5                 356          13              127                1 
       Nevada                        12 6-6                 366          13              104                1 
       Rutgers                       12 4-8                 367          13              117                1 
       Texas                         12 5-7                 382          13              239                1 
       Buffalo                       12 5-7                 385          13              278                5 
       Illinois                      12 5-7                 392          13              195                1 
       Baylor                        12 9-3                 406          13              113                0 
       Massachusetts                 12 3-9                 417          13               94                0 
       UNLV                          12 3-9                 419          13              301                2 
       Auburn                        12 6-6                 421          13              138                1 
       Akron                         12 7-5                 433          13               29                0 
       Southern Miss.                13 9-4                 458          13              267                3 
       Arizona St.                   12 6-6                 465          13              146                2 
    51 North Carolina St.            12 7-5                 342          12               77                1 
       South Carolina                12 3-9                 347          12               37                0 
