Passing Offense
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Att    Pass Com         Int    Pass Yds     Yds/Att    Yds/Comp     Pass TD         YPG 
     1 Washington St.                12 8-4                 685         471          12        4764        6.95       10.11          39       397.0 
     2 Texas Tech                    12 7-5                 564         361          14        4676        8.29       12.95          35       389.7 
     3 Bowling Green                 13 10-3                560         383           8        4889        8.73       12.77          44       376.1 
     4 Cincinnati                    12 7-5                 516         322          19        4477        8.68       13.90          29       373.1 
     5 California                    12 7-5                 513         327          14        4425        8.63       13.53          38       368.8 
     6 Western Ky.                   13 11-2                508         366           7        4750        9.35       12.98          47       365.4 
     7 Oklahoma St.                  12 10-2                472         298          10        4288        9.08       14.39          35       357.3 
     8 Georgia St.                   12 6-6                 467         294          11        4159        8.91       14.15          26       346.6 
     9 TCU                           12 10-2                470         296          14        4146        8.82       14.01          37       345.5 
    10 Ole Miss                      12 9-3                 454         296          13        4004        8.82       13.53          31       333.7 
    11 Tulsa                         12 6-6                 448         278           8        3958        8.83       14.24          22       329.8 
    12 Southern Miss.                13 9-4                 492         312          12        4263        8.66       13.66          38       327.9 
    13 Memphis                       12 9-3                 428         295           4        3891        9.09       13.19          30       324.3 
    14 Central Mich.                 12 7-5                 465         311          10        3760        8.09       12.09          25       313.3 
    15 Louisiana Tech                12 8-4                 441         271          11        3743        8.49       13.81          25       311.9 
    16 Mississippi St.               12 8-4                 458         306           4        3733        8.15       12.20          29       311.1 
    17 Middle Tenn.                  12 7-5                 462         308           9        3725        8.06       12.09          28       310.4 
    18 Oklahoma                      12 11-1                396         266           7        3695        9.33       13.89          37       307.9 
    19 Boise St.                     12 8-4                 485         305          11        3655        7.54       11.98          21       304.6 
    20 Baylor                        12 9-3                 371         219          12        3653        9.85       16.68          44       304.4 
    21 BYU                           12 9-3                 448         277           9        3539        7.90       12.78          24       294.9 
    22 Arizona St.                   12 6-6                 482         291           9        3469        7.20       11.92          26       289.1 
    23 Clemson                       13 13-0                449         309          13        3750        8.35       12.14          30       288.5 
    24 Indiana                       12 6-6                 409         241           6        3431        8.39       14.24          24       285.9 
    25 UCLA                          12 8-4                 469         274          11        3430        7.31       12.52          20       285.8 
    26 Western Mich.                 12 7-5                 377         254           8        3405        9.03       13.41          28       283.8 
    27 Miami (FL)                    12 8-4                 417         251           7        3383        8.11       13.48          17       281.9 
    28 East Carolina                 12 5-7                 473         321          12        3375        7.14       10.51          21       281.3 
       Idaho                         12 4-8                 472         297          15        3375        7.15       11.36          17       281.3 
    30 Nebraska                      12 5-7                 439         244          21        3296        7.51       13.51          26       274.7 
    31 Southern California           13 8-5                 430         291           6        3555        8.27       12.22          29       273.5 
    32 Arizona                       12 6-6                 442         260           9        3219        7.28       12.38          25       268.3 
    33 Arkansas                      12 7-5                 348         226           7        3171        9.11       14.03          30       264.3 
    34 North Carolina                13 11-2                373         239           9        3432        9.20       14.36          28       264.0 
    35 Oregon                        12 9-3                 340         216          10        3125        9.19       14.47          32       260.4 
    36 Massachusetts                 12 3-9                 495         281          13        3090        6.24       11.00          18       257.5 
    37 Notre Dame                    12 10-2                347         219           9        3080        8.88       14.06          23       256.7 
    38 Duke                          12 7-5                 469         277           7        3041        6.48       10.98          17       253.4 
    39 New Mexico St.                12 3-9                 453         241          14        3034        6.70       12.59          26       252.8 
    40 Texas A&M                     12 8-4                 434         245          14        3016        6.95       12.31          23       251.3 
    41 Toledo                        11 9-2                 382         211          10        2751        7.20       13.04          22       250.1 
    42 Buffalo                       12 5-7                 455         283          16        2994        6.58       10.58          16       249.5 
    43 Houston                       13 12-1                386         257           6        3216        8.33       12.51          20       247.4 
    44 Louisville                    12 7-5                 383         215          15        2959        7.73       13.76          19       246.6 
    45 Florida St.                   12 10-2                371         241           5        2928        7.89       12.15          20       244.0 
    46 Illinois                      12 5-7                 519         285           8        2921        5.63       10.25          16       243.4 
