Passing Yards Allowed
Through Games 12/05/2015
  Rank Name                           G W-L             Opp Cpl    Opp Pass     Opp Pass Yds     Opp Pass TDs     Yds/Att    Yds/Comp         YPG 
     1 Georgia                       12 9-3                 156         302             1753                9        5.80       11.24       146.1 
     2 San Jose St.                  12 5-7                 161         290             1843               14        6.36       11.45       153.6 
     3 Michigan                      12 9-3                 171         356             1905                7        5.35       11.14       158.8 
     4 Texas A&M                     12 8-4                 195         331             1935                8        5.85        9.92       161.3 
     5 Clemson                       13 13-0                170         369             2170               16        5.88       12.76       166.9 
     6 Wisconsin                     12 9-3                 176         362             2030                6        5.61       11.53       169.2 
     7 Missouri                      12 5-7                 219         354             2031               10        5.74        9.27       169.3 
     8 Boston College                12 3-9                 173         334             2058                9        6.16       11.90       171.5 
     9 Virginia Tech                 12 6-6                 148         309             2085               15        6.75       14.09       173.8 
    10 Penn St.                      12 7-5                 202         350             2094               12        5.98       10.37       174.5 
    11 Florida                       13 10-3                211         394             2272               14        5.77       10.77       174.8 
    12 Ohio St.                      12 11-1                185         373             2114               12        5.67       11.43       176.2 
    13 San Diego St.                 13 10-3                185         350             2298               14        6.57       12.42       176.8 
    14 Utah St.                      12 6-6                 168         309             2165               15        7.01       12.89       180.4 
    15 Minnesota                     12 5-7                 212         364             2189               13        6.01       10.33       182.4 
    16 Alabama                       13 12-1                201         409             2394               13        5.85       11.91       184.2 
    17 Appalachian St.               12 10-2                208         345             2213               10        6.41       10.64       184.4 
       Illinois                      12 5-7                 224         392             2213               17        5.65        9.88       184.4 
    19 Florida St.                   12 10-2                224         397             2230               12        5.62        9.96       185.8 
    20 Colorado St.                  12 7-5                 169         311             2235               12        7.19       13.22       186.3 
    21 UConn                         12 6-6                 212         365             2243               13        6.15       10.58       186.9 
    22 North Carolina St.            12 7-5                 185         342             2262               20        6.61       12.23       188.5 
    23 Air Force                     13 8-5                 180         350             2475               17        7.07       13.75       190.4 
    24 Central Mich.                 12 7-5                 202         358             2286               16        6.39       11.32       190.5 
    25 Northwestern                  12 10-2                228         422             2312                5        5.48       10.14       192.7 
    26 North Carolina                13 11-2                227         417             2529               16        6.06       11.14       194.5 
    27 South Ala.                    12 5-7                 203         337             2340               19        6.94       11.53       195.0 
    28 Notre Dame                    12 10-2                188         343             2351               17        6.85       12.51       195.9 
    29 Miami (FL)                    12 8-4                 219         361             2355               14        6.52       10.75       196.3 
    30 Wyoming                       12 2-10                186         279             2363               23        8.47       12.70       196.9 
    31 Kentucky                      12 5-7                 196         343             2377               14        6.93       12.13       198.1 
    32 Troy                          12 4-8                 195         334             2400               19        7.19       12.31       200.0 
    33 Marshall                      12 9-3                 214         433             2409               15        5.56       11.26       200.8 
    34 Oklahoma                      12 11-1                213         405             2418               18        5.97       11.35       201.5 
    35 Wake Forest                   12 3-9                 199         322             2430               17        7.55       12.21       202.5 
    36 Eastern Mich.                 12 1-11                184         300             2433               22        8.11       13.22       202.8 
    37 Georgia Tech                  12 3-9                 202         337             2435               12        7.23       12.05       202.9 
    38 Temple                        13 10-3                249         438             2643               11        6.03       10.61       203.3 
    39 Ga. Southern                  12 8-4                 185         331             2447               19        7.39       13.23       203.9 
    40 Louisville                    12 7-5                 208         373             2456               21        6.58       11.81       204.7 
    41 UCLA                          12 8-4                 249         438             2468               17        5.63        9.91       205.7 
    42 Nevada                        12 6-6                 237         366             2472               18        6.75       10.43       206.0 
    43 Kent St.                      12 3-9                 199         370             2474               22        6.69       12.43       206.2 
    44 Vanderbilt                    12 4-8                 213         387             2488               10        6.43       11.68       207.3 
    45 Hawaii                        13 3-10                224         364             2716               23        7.46       12.13       208.9 
    46 LSU                           11 8-3                 208         363             2321               18        6.39       11.16       211.0 
    47 Fresno St.                    12 3-9                 206         331             2538               20        7.67       12.32       211.5 
    48 South Carolina                12 3-9                 228         347             2549               15        7.35       11.18       212.4 
    49 BYU                           12 9-3                 217         391             2553               12        6.53       11.76       212.8 
    50 TCU                           12 10-2                200         407             2572               16        6.32       12.86       214.3 
    51 Idaho                         12 4-8                 198         322             2573               22        7.99       12.99       214.4 
    52 La.-Monroe                    13 2-11                194         341             2792               29        8.19       14.39       214.8 
    53 Washington                    12 6-6                 228         399             2592                9        6.50       11.37       216.0 
    54 Ohio                          12 8-4                 238         397             2599               15        6.55       10.92       216.6 
    55 Mississippi St.               12 8-4                 245         396             2601               15        6.57       10.62       216.8 
    56 Tennessee                     12 8-4                 206         401             2606               17        6.50       12.65       217.2 
    57 Pittsburgh                    12 8-4                 205         367             2618               17        7.13       12.77       218.2 
    58 Colorado                      13 4-9                 249         435             2837               24        6.52       11.39       218.2 
    59 Army West Point               11 2-9                 180         292             2412               12        8.26       13.40       219.3 
    60 Iowa                          13 12-1                253         472             2851               14        6.04       11.27       219.3 
    61 South Fla.                    12 8-4                 219         401             2647               13        6.60       12.09       220.6 
    62 FIU                           12 5-7                 231         372             2652               17        7.13       11.48       221.0 
    63 West Virginia                 12 7-5                 202         395             2673               20        6.77       13.23       222.8 
    64 Southern Miss.                13 9-4                 248         458             2903               22        6.34       11.71       223.3 
    65 Washington St.                12 8-4                 254         396             2686               12        6.78       10.57       223.8 
    66 Cincinnati                    12 7-5                 228         398             2692               22        6.76       11.81       224.3 
    67 Boise St.                     12 8-4                 213         390             2693               14        6.91       12.64       224.4 
    68 Western Mich.                 12 7-5                 200         365             2697               21        7.39       13.49       224.8 
    69 East Carolina                 12 5-7                 204         376             2717               17        7.23       13.32       226.4 
    70 Buffalo                       12 5-7                 217         385             2728               18        7.09       12.57       227.3 
    71 Stanford                      13 11-2                250         440             2959               17        6.73       11.84       227.6 
    72 Duke                          12 7-5                 195         351             2743               20        7.81       14.07       228.6 
    73 Michigan St.                  13 12-1                245         415             2988               18        7.20       12.20       229.8 
    74 Navy                          11 9-2                 229         348             2540               14        7.30       11.09       230.9 
    75 Auburn                        12 6-6                 262         421             2786               13        6.62       10.63       232.2 
    76 Baylor                        12 9-3                 233         406             2792               27        6.88       11.98       232.7 
    77 Northern Ill.                 13 8-5                 270         478             3034               22        6.35       11.24       233.4 
    78 Tulane                        12 3-9                 203         333             2801               20        8.41       13.80       233.4 
       Texas                         12 5-7                 229         382             2801               24        7.33       12.23       233.4 
    80 Old Dominion                  12 5-7                 251         404             2807               22        6.95       11.18       233.9 
    81 Western Ky.                   13 11-2                239         438             3048               26        6.96       12.75       234.5 
    82 Miami (OH)                    12 3-9                 231         375             2828               20        7.54       12.24       235.7 
    83 Georgia St.                   12 6-6                 257         434             2830               18        6.52       11.01       235.8 
    84 Fla. Atlantic                 12 3-9                 217         373             2840               23        7.61       13.09       236.7 
    85 La.-Lafayette                 12 4-8                 189         361             2845               28        7.88       15.05       237.1 
    86 New Mexico                    12 7-5                 208         356             2855               21        8.02       13.73       237.9 
    87 Akron                         12 7-5                 254         433             2865               20        6.62       11.28       238.8 
    88 UNLV                          12 3-9                 238         419             2877               19        6.87       12.09       239.8 
    89 SMU                           12 2-10                184         311             2892               31        9.30       15.72       241.0 
