Passing Yards per Completion
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Com    Pass Att    Pass Yds         Avg 
     1 Army West Point               11 2-9                  40          90         920       23.00 
     2 Air Force                     13 8-5                  80         155        1698       21.23 
     3 Navy                          11 9-2                  48          90         994       20.71 
     4 Georgia Tech                  12 3-9                  81         192        1462       18.05 
     5 Baylor                        12 9-3                 219         371        3653       16.68 
     6 New Mexico                    12 7-5                 108         208        1579       14.62 
     7 Appalachian St.               12 10-2                167         271        2422       14.50 
     8 Oregon                        12 9-3                 216         340        3125       14.47 
     9 Oklahoma St.                  12 10-2                298         472        4288       14.39 
    10 North Carolina                13 11-2                239         373        3432       14.36 
    11 Tulsa                         12 6-6                 278         448        3958       14.24 
    12 Indiana                       12 6-6                 241         409        3431       14.24 
    13 Kansas St.                    12 6-6                 150         320        2125       14.17 
    14 Georgia St.                   12 6-6                 294         467        4159       14.15 
    15 Miami (OH)                    12 3-9                 177         374        2502       14.14 
    16 LSU                           11 8-3                 135         255        1904       14.10 
    17 San Diego St.                 13 10-3                132         240        1859       14.08 
    18 Notre Dame                    12 10-2                219         347        3080       14.06 
    19 Arkansas                      12 7-5                 226         348        3171       14.03 
    20 TCU                           12 10-2                296         470        4146       14.01 
    21 Cincinnati                    12 7-5                 322         516        4477       13.90 
    22 Oklahoma                      12 11-1                266         396        3695       13.89 
    23 Louisiana Tech                12 8-4                 271         441        3743       13.81 
    24 Akron                         12 7-5                 169         340        2326       13.76 
    25 Louisville                    12 7-5                 215         383        2959       13.76 
    26 Southern Miss.                13 9-4                 312         492        4263       13.66 
    27 Stanford                      13 11-2                201         297        2742       13.64 
    28 Michigan St.                  13 12-1                225         401        3069       13.64 
    29 South Fla.                    12 8-4                 164         267        2229       13.59 
    30 California                    12 7-5                 327         513        4425       13.53 
    31 Ole Miss                      12 9-3                 296         454        4004       13.53 
    32 Nebraska                      12 5-7                 244         439        3296       13.51 
    33 Ga. Southern                  12 8-4                  55         129         742       13.49 
    34 Miami (FL)                    12 8-4                 251         417        3383       13.48 
    35 West Virginia                 12 7-5                 204         378        2737       13.42 
    36 Western Mich.                 12 7-5                 254         377        3405       13.41 
    37 Arkansas St.                  12 9-3                 192         336        2547       13.27 
    38 Memphis                       12 9-3                 295         428        3891       13.19 
    39 Toledo                        11 9-2                 211         382        2751       13.04 
    40 South Carolina                12 3-9                 191         351        2490       13.04 
    41 South Ala.                    12 5-7                 184         352        2394       13.01 
    42 Penn St.                      12 7-5                 193         362        2507       12.99 
    43 Western Ky.                   13 11-2                366         508        4750       12.98 
    44 Virginia Tech                 12 6-6                 200         356        2592       12.96 
    45 Texas Tech                    12 7-5                 361         564        4676       12.95 
    46 UNLV                          12 3-9                 196         365        2537       12.94 
    47 SMU                           12 2-10                203         366        2620       12.91 
    48 BYU                           12 9-3                 277         448        3539       12.78 
    49 Bowling Green                 13 10-3                383         560        4889       12.77 
    50 Iowa                          13 12-1                206         336        2623       12.73 
    51 Washington                    12 6-6                 222         362        2826       12.73 
    52 Rice                          12 5-7                 212         373        2691       12.69 
    53 Ohio                          12 8-4                 225         374        2854       12.68 
    54 Texas                         12 5-7                 139         252        1751       12.60 
    55 New Mexico St.                12 3-9                 241         453        3034       12.59 
    56 Colorado St.                  12 7-5                 211         350        2655       12.58 
    57 Florida                       13 10-3                219         380        2744       12.53 
    58 UCLA                          12 8-4                 274         469        3430       12.52 
    59 Houston                       13 12-1                257         386        3216       12.51 
    60 Auburn                        12 6-6                 169         290        2107       12.47 
    61 Fla. Atlantic                 12 3-9                 206         394        2557       12.41 
    62 Hawaii                        13 3-10                202         422        2501       12.38 
    63 Arizona                       12 6-6                 260         442        3219       12.38 
    64 Northern Ill.                 13 8-5                 233         383        2880       12.36 
    65 Temple                        13 10-3                227         397        2802       12.34 
    66 Texas A&M                     12 8-4                 245         434        3016       12.31 
    67 Wyoming                       12 2-10                183         308        2247       12.28 
    68 Rutgers                       12 4-8                 203         337        2485       12.24 
    69 Southern California           13 8-5                 291         430        3555       12.22 
    70 Mississippi St.               12 8-4                 306         458        3733       12.20 
    71 UConn                         12 6-6                 191         325        2326       12.18 
    72 Florida St.                   12 10-2                241         371        2928       12.15 
    73 Clemson                       13 13-0                309         449        3750       12.14 
    74 Ohio St.                      12 11-1                185         294        2244       12.13 
    75 Utah St.                      12 6-6                 201         358        2435       12.11 
    76 Middle Tenn.                  12 7-5                 308         462        3725       12.09 
    77 Central Mich.                 12 7-5                 311         465        3760       12.09 
    78 Boston College                12 3-9                 111         249        1334       12.02 
    79 Georgia                       12 9-3                 187         304        2245       12.01 
    80 Boise St.                     12 8-4                 305         485        3655       11.98 
    81 Arizona St.                   12 6-6                 291         482        3469       11.92 
    82 Oregon St.                    12 2-10                161         343        1909       11.86 
    83 Michigan                      12 9-3                 238         384        2812       11.82 
    84 Tulane                        12 3-9                 205         403        2415       11.78 
    85 Pittsburgh                    12 8-4                 199         322        2341       11.76 
