Punt Returns
Through Games 12/05/2015
  Rank Name                           G W-L            Punt Ret     Punt Ret Yds     Punt Ret TDs         Avg 
     1 Texas A&M                     12 8-4                  19              374                2       19.68 
     2 Tennessee                     12 8-4                  31              566                3       18.26 
     3 Iowa St.                      12 3-9                  22              383                1       17.41 
     4 Maryland                      12 3-9                  26              449                2       17.27 
     5 Ga. Southern                  12 8-4                  20              323                1       16.15 
     6 Washington                    12 6-6                  20              320                2       16.00 
       Arizona                       12 6-6                   9              144                1       16.00 
       Virginia                      12 4-8                  10              160                1       16.00 
     9 Syracuse                      12 4-8                  17              271                2       15.94 
    10 Arkansas                      12 7-5                  12              186                0       15.50 
    11 Florida                       13 10-3                 32              446                2       13.94 
    12 Rutgers                       12 4-8                  12              167                1       13.92 
    13 Tulsa                         12 6-6                   8              111                0       13.88 
    14 Oregon                        12 9-3                  11              150                1       13.64 
    15 Oregon St.                    12 2-10                 12              160                1       13.33 
    16 North Carolina                13 11-2                 23              303                2       13.17 
    17 North Carolina St.            12 7-5                  28              363                1       12.96 
    18 Georgia                       12 9-3                  28              358                3       12.79 
    19 Nevada                        12 6-6                  11              139                0       12.64 
    20 South Fla.                    12 8-4                  18              227                0       12.61 
    21 Colorado St.                  12 7-5                  25              314                2       12.56 
    22 Iowa                          13 12-1                 17              213                0       12.53 
    23 Troy                          12 4-8                  19              235                1       12.37 
    24 Alabama                       13 12-1                 41              505                4       12.32 
    25 Ohio St.                      12 11-1                 26              319                0       12.27 
    26 Texas St.                     12 3-9                  15              183                1       12.20 
    27 Texas                         12 5-7                  23              279                1       12.13 
    28 Mississippi St.               12 8-4                  18              216                1       12.00 
    29 Indiana                       12 6-6                  17              199                2       11.71 
    30 Buffalo                       12 5-7                  10              116                1       11.60 
    31 Michigan                      12 9-3                  17              194                0       11.41 
    32 Houston                       13 12-1                 26              294                1       11.31 
    33 Toledo                        11 9-2                  22              248                0       11.27 
    34 Arkansas St.                  12 9-3                  34              373                1       10.97 
    35 UCLA                          12 8-4                  20              219                0       10.95 
    36 FIU                           12 5-7                  19              206                1       10.84 
    37 Utah                          12 9-3                  30              325                2       10.83 
    38 TCU                           12 10-2                 17              181                1       10.65 
    39 Fresno St.                    12 3-9                  11              117                0       10.64 
    40 Nebraska                      12 5-7                  10              106                0       10.60 
    41 Cincinnati                    12 7-5                  14              146                0       10.43 
    42 San Diego St.                 13 10-3                 25              252                1       10.08 
    43 Louisiana Tech                12 8-4                  15              151                1       10.07 
    44 Temple                        13 10-3                 26              261                1       10.04 
    45 Illinois                      12 5-7                  29              290                2       10.00 
    46 LSU                           11 8-3                  18              177                1        9.83 
    47 East Carolina                 12 5-7                  23              225                1        9.78 
    48 Marshall                      12 9-3                  22              215                1        9.77 
    49 Southern California           13 8-5                  26              254                2        9.77 
    50 Utah St.                      12 6-6                  41              398                2        9.71 
    51 La.-Lafayette                 12 4-8                  25              242                1        9.68 
    52 Georgia Tech                  12 3-9                  20              189                0        9.45 
    53 Auburn                        12 6-6                   9               85                0        9.44 
    54 Western Mich.                 12 7-5                   9               84                0        9.33 
    55 Air Force                     13 8-5                  15              139                1        9.27 
    56 Miami (FL)                    12 8-4                  19              174                1        9.16 
    57 Ball St.                      12 3-9                  14              127                0        9.07 
    58 BYU                           12 9-3                  23              204                0        8.87 
    59 Eastern Mich.                 12 1-11                  9               78                0        8.67 
    60 North Texas                   12 1-11                 20              172                1        8.60 
    61 Washington St.                12 8-4                  15              128                0        8.53 
    62 Northwestern                  12 10-2                 13              108                0        8.31 
    63 New Mexico St.                12 3-9                  17              141                0        8.29 
    64 UTEP                          12 5-7                  18              149                1        8.28 
    65 Massachusetts                 12 3-9                  14              114                0        8.14 
    66 Boston College                12 3-9                  29              235                1        8.10 
    67 Memphis                       12 9-3                  28              224                1        8.00 
    68 Notre Dame                    12 10-2                 27              215                2        7.96 
    69 Hawaii                        13 3-10                 26              201                1        7.73 
    70 Rice                          12 5-7                  15              113                0        7.53 
    71 Wyoming                       12 2-10                 14              105                0        7.50 
       Oklahoma                      12 11-1                 22              165                0        7.50 
    73 Kentucky                      12 5-7                  11               81                0        7.36 
    74 Purdue                        12 2-10                 10               73                0        7.30 
    75 Wisconsin                     12 9-3                  29              211                0        7.28 
    76 Duke                          12 7-5                  27              196                0        7.26 
    77 Oklahoma St.                  12 10-2                 22              157                2        7.14 
    78 Kansas St.                    12 6-6                  23              164                1        7.13 
    79 Penn St.                      12 7-5                  31              221                0        7.13 
    80 Northern Ill.                 13 8-5                  21              148                0        7.05 
    81 Arizona St.                   12 6-6                  23              156                0        6.78 
    82 Fla. Atlantic                 12 3-9                  20              135                0        6.75 
    83 Navy                          11 9-2                  10               66                0        6.60 
    84 Ohio                          12 8-4                  20              131                0        6.55 
    85 Vanderbilt                    12 4-8                  31              197                0        6.35 
    86 Pittsburgh                    12 8-4                  19              120                1        6.32 
    87 Tulane                        12 3-9                  14               88                0        6.29 
       Texas Tech                    12 7-5                  14               88                0        6.29 
    89 Western Ky.                   13 11-2                 16               99                0        6.19 
       Colorado                      13 4-9                  16               99                0        6.19 
    91 South Ala.                    12 5-7                  14               86                0        6.14 
    92 Louisville                    12 7-5                  27              163                0        6.04 
    93 Boise St.                     12 8-4                  28              169                0        6.04 
    94 UCF                           12 0-12                 12               72                0        6.00 
    95 Missouri                      12 5-7                  27              158                1        5.85 
    96 Stanford                      13 11-2                 16               91                0        5.69 
    97 UNLV                          12 3-9                  12               66                0        5.50 
       New Mexico                    12 7-5                  10               55                0        5.50 
    99 Miami (OH)                    12 3-9                  13               69                0        5.31 
   100 Georgia St.                   12 6-6                   7               37                0        5.29 
   101 West Virginia                 12 7-5                  22              114                0        5.18 
   102 Akron                         12 7-5                  19               98                0        5.16 
       UTSA                          12 3-9                  19               98                0        5.16 
   104 Virginia Tech                 12 6-6                  28              143                1        5.11 
   105 Southern Miss.                13 9-4                  27              134                0        4.96 
   106 Appalachian St.               12 10-2                 20               99                0        4.95 
   107 Middle Tenn.                  12 7-5                  19               93                0        4.89 
   108 South Carolina                12 3-9                  12               55                0        4.58 
   109 Bowling Green                 13 10-3                 12               53                0        4.42 
   110 Army West Point               11 2-9                  19               82                1        4.32 
   111 Baylor                        12 9-3                  15               64                0        4.27 
   112 Central Mich.                 12 7-5                  11               46                0        4.18 
       California                    12 7-5                  11               46                0        4.18 
   114 Ole Miss                      12 9-3                  28              112                0        4.00 
   115 Florida St.                   12 10-2                 32              121                0        3.78 
   116 Wake Forest                   12 3-9                  24               90                0        3.75 
   117 Kent St.                      12 3-9                  28              103                0        3.68 
   118 SMU                           12 2-10                 13               41                0        3.15 
   119 Michigan St.                  13 12-1                 10               28                0        2.80 
       San Jose St.                  12 5-7                   5               14                0        2.80 
   121 Minnesota                     12 5-7                  21               56                0        2.67 
   122 La.-Monroe                    13 2-11                 11               24                0        2.18 
   123 Old Dominion                  12 5-7                  16               34                0        2.13 
   124 Kansas                        12 0-12                 13               26                0        2.00 
   125 Idaho                         12 4-8                  12               20                0        1.67 
   126 Clemson                       13 13-0                 24               36                0        1.50 
   127 UConn                         12 6-6                   5                2                0        0.40 
Reclassifying
    NR Charlotte                     12 2-10                 22               79                0        3.59 
