Red Zone Defense
Through Games 12/05/2015
  Rank Name                           G W-L           Opp RZAtt   Opp RZ Rush TD   Opp RZ Pass TD   Opp RZ FG Made     Opp RZScores         Pct 
     1 Appalachian St.               12 10-2                 40               11                5                9               25       0.625 
     2 Georgia                       12 9-3                  31               10                5                5               20       0.645 
     3 Toledo                        11 9-2                  35                7                8                8               23       0.657 
     4 New Mexico                    12 7-5                  44               11                7               12               30       0.682 
     5 Middle Tenn.                  12 7-5                  45               11               13                8               32       0.711 
     6 Vanderbilt                    12 4-8                  49               11                8               16               35       0.714 
     7 Mississippi St.               12 8-4                  43                7               10               14               31       0.721 
     8 Marshall                      12 9-3                  40                8               11               10               29       0.725 
     9 Wisconsin                     12 9-3                  22                6                2                8               16       0.727 
    10 Boston College                12 3-9                  30                5                5               12               22       0.733 
    11 UConn                         12 6-6                  38               11                5               12               28       0.737 
    12 Northwestern                  12 10-2                 31               15                1                7               23       0.742 
    13 Central Mich.                 12 7-5                  39               13                9                7               29       0.744 
       Fla. Atlantic                 12 3-9                  39               13                9                7               29       0.744 
    15 Kentucky                      12 5-7                  52               19                9               11               39       0.750 
    16 FIU                           12 5-7                  45               19                9                6               34       0.756 
    17 BYU                           12 9-3                  41               15                8                8               31       0.756 
       La.-Lafayette                 12 4-8                  41               12               12                7               31       0.756 
    19 Boise St.                     12 8-4                  33               11                6                8               25       0.758 
    20 Nevada                        12 6-6                  46               13               13                9               35       0.761 
    21 New Mexico St.                12 3-9                  55               23               10                9               42       0.764 
    22 Notre Dame                    12 10-2                 34               12               11                3               26       0.765 
    23 Tennessee                     12 8-4                  39               11               11                8               30       0.769 
    24 TCU                           12 10-2                 40               19                4                8               31       0.775 
    25 Kent St.                      12 3-9                  45               14               12                9               35       0.778 
       Washington                    12 6-6                  36               12                3               13               28       0.778 
    27 Kansas                        12 0-12                 77               31               17               12               60       0.779 
    28 Temple                        13 10-3                 41                9                8               15               32       0.780 
    29 Florida                       13 10-3                 32                8                7               10               25       0.781 
    30 Western Ky.                   13 11-2                 46               11               17                8               36       0.783 
    31 Oklahoma                      12 11-1                 37               10               10                9               29       0.784 
    32 Ohio St.                      12 11-1                 28                7                9                6               22       0.786 
    33 La.-Monroe                    13 2-11                 61               24               12               12               48       0.787 
    34 Navy                          11 9-2                  33               14                8                4               26       0.788 
       Wake Forest                   12 3-9                  33               11                6                9               26       0.788 
    36 UTSA                          12 3-9                  58               19               13               14               46       0.793 
    37 Old Dominion                  12 5-7                  63               23               13               14               50       0.794 
    38 Akron                         12 7-5                  39               12               14                5               31       0.795 
    39 Southern Miss.                13 9-4                  49               10               14               15               39       0.796 
    40 San Diego St.                 13 10-3                 35               11               10                7               28       0.800 
       Rutgers                       12 4-8                  55               23               13                8               44       0.800 
       Air Force                     13 8-5                  30               11                4                9               24       0.800 
       Florida St.                   12 10-2                 30                5                7               12               24       0.800 
       Auburn                        12 6-6                  50               20                7               13               40       0.800 
    45 Purdue                        12 2-10                 61               24               15               10               49       0.803 
    46 Eastern Mich.                 12 1-11                 56               30               10                5               45       0.804 
    47 North Carolina                13 11-2                 51               17               14               10               41       0.804 
    48 Virginia                      12 4-8                  47               11               13               14               38       0.809 
    49 Utah                          12 9-3                  42                9               13               12               34       0.810 
    50 Missouri                      12 5-7                  38               10                8               13               31       0.816 
    51 Northern Ill.                 13 8-5                  44               10                8               18               36       0.818 
       Texas A&M                     12 8-4                  44               12                6               18               36       0.818 
       Iowa                          13 12-1                 33                8                9               10               27       0.818 
    54 Bowling Green                 13 10-3                 50               18                9               14               41       0.820 
    55 Memphis                       12 9-3                  39               18                6                8               32       0.821 
    56 Troy                          12 4-8                  45               17               11                9               37       0.822 
    57 Georgia St.                   12 6-6                  40               13                9               11               33       0.825 
       Western Mich.                 12 7-5                  40               15               10                8               33       0.825 
    59 Kansas St.                    12 6-6                  46               16               13                9               38       0.826 
