Red Zone Offense
Through Games 12/05/2015
  Rank Name                           G W-L               RZAtt  RZ Rush TD  RZ Pass TD  RZ FG Made    RZScores         Pct 
     1 Washington St.                12 8-4                  53           7          29          14          50       0.943 
     2 Kansas St.                    12 6-6                  51          25           9          14          48       0.941 
       Navy                          11 9-2                  51          37           1          10          48       0.941 
     4 BYU                           12 9-3                  49          20          15          11          46       0.939 
       Michigan                      12 9-3                  49          21          12          13          46       0.939 
     6 San Diego St.                 13 10-3                 47          24           7          13          44       0.936 
     7 Memphis                       12 9-3                  60          27          14          15          56       0.933 
     8 Penn St.                      12 7-5                  42          12          11          16          39       0.929 
     9 Oklahoma St.                  12 10-2                 55          18          20          13          51       0.927 
    10 Syracuse                      12 4-8                  39          11          12          13          36       0.923 
    11 UCLA                          12 8-4                  54          21          12          16          49       0.907 
    12 Utah                          12 9-3                  43          17           8          14          39       0.907 
    13 Nevada                        12 6-6                  40          16          10          10          36       0.900 
       Mississippi St.               12 8-4                  50          17          18          10          45       0.900 
       Texas Tech                    12 7-5                  60          26          15          13          54       0.900 
    16 Clemson                       13 13-0                 49          21           9          14          44       0.898 
    17 Nebraska                      12 5-7                  48          17          17           9          43       0.896 
    18 North Carolina                13 11-2                 66          32          12          15          59       0.894 
    19 Northern Ill.                 13 8-5                  47          22          12           8          42       0.894 
    20 Tulane                        12 3-9                  28           7           9           9          25       0.893 
       Indiana                       12 6-6                  56          19          14          17          50       0.893 
    22 Oklahoma                      12 11-1                 65          23          21          14          58       0.892 
    23 Appalachian St.               12 10-2                 46          18          16           7          41       0.891 
       Auburn                        12 6-6                  46          22           6          13          41       0.891 
    25 Baylor                        12 9-3                  63          31          17           8          56       0.889 
    26 South Fla.                    12 8-4                  44          19          11           9          39       0.886 
       East Carolina                 12 5-7                  44          13          17           9          39       0.886 
    28 Western Ky.                   13 11-2                 70          23          28          11          62       0.886 
    29 Florida St.                   12 10-2                 43          14          10          14          38       0.884 
    30 California                    12 7-5                  60          14          25          14          53       0.883 
    31 Central Mich.                 12 7-5                  51          14          19          12          45       0.882 
       Idaho                         12 4-8                  51          22           9          14          45       0.882 
       Texas                         12 5-7                  34          18           2          10          30       0.882 
    34 Stanford                      13 11-2                 59          24          16          12          52       0.881 
    35 San Jose St.                  12 5-7                  42          19          12           6          37       0.881 
    36 Virginia                      12 4-8                  33           9           8          12          29       0.879 
    37 Temple                        13 10-3                 57          18          17          15          50       0.877 
    38 Colorado St.                  12 7-5                  48          15          16          11          42       0.875 
    39 FIU                           12 5-7                  39          13          13           8          34       0.872 
    40 Houston                       13 12-1                 62          35           9          10          54       0.871 
    41 Southern California           13 8-5                  54          21          16          10          47       0.870 
    42 Virginia Tech                 12 6-6                  46          13          16          11          40       0.870 
    43 Purdue                        12 2-10                 38          18          10           5          33       0.868 
    44 Pittsburgh                    12 8-4                  45          15          14          10          39       0.867 
       UTEP                          12 5-7                  30           5           9          12          26       0.867 
    46 Iowa                          13 12-1                 52          28           7          10          45       0.865 
       Ga. Southern                  12 8-4                  52          33           0          12          45       0.865 
    48 Troy                          12 4-8                  37          10          10          12          32       0.865 
    49 Arizona St.                   12 6-6                  59          14          17          20          51       0.864 
    50 Oregon                        12 9-3                  65          24          17          15          56       0.862 
    51 South Carolina                12 3-9                  36           8           9          14          31       0.861 
    52 Michigan St.                  13 12-1                 50          20          15           8          43       0.860 
    53 Louisiana Tech                12 8-4                  49          22           9          11          42       0.857 
    54 Rutgers                       12 4-8                  40          13          12           9          34       0.850 
       South Ala.                    12 5-7                  40          14           8          12          34       0.850 
    56 Minnesota                     12 5-7                  33          11           6          11          28       0.848 
    57 North Carolina St.            12 7-5                  52          25          12           7          44       0.846 
       Tulsa                         12 6-6                  52          26           5          13          44       0.846 
       Middle Tenn.                  12 7-5                  52          19          17           8          44       0.846 
    60 Duke                          12 7-5                  51          16          11          16          43       0.843 
    61 Northwestern                  12 10-2                 38          12           3          17          32       0.842 
    62 SMU                           12 2-10                 44          20          10           7          37       0.841 
    63 Air Force                     13 8-5                  50          33           2           7          42       0.840 
    64 Ole Miss                      12 9-3                  56          20          13          14          47       0.839 
       Miami (FL)                    12 8-4                  56          17          11          19          47       0.839 
    66 Oregon St.                    12 2-10                 31          14           5           7          26       0.839 
    67 Bowling Green                 13 10-3                 68          26          24           7          57       0.838 
    68 Georgia Tech                  12 3-9                  37          22           6           3          31       0.838 
    69 Buffalo                       12 5-7                  43          14          11          11          36       0.837 
    70 Wisconsin                     12 9-3                  49          22          11           8          41       0.837 
    71 Toledo                        11 9-2                  55          19          15          12          46       0.836 
    72 Eastern Mich.                 12 1-11                 36          14          13           3          30       0.833 
       Arizona                       12 6-6                  60          19          19          12          50       0.833 
       LSU                           11 8-3                  42          20           6           9          35       0.833 
       Kentucky                      12 5-7                  42          18           5          12          35       0.833 
    76 Boise St.                     12 8-4                  59          26           8          15          49       0.831 
    77 Marshall                      12 9-3                  56          15          18          13          46       0.821 
    78 Louisville                    12 7-5                  55          19          12          14          45       0.818 
       Miami (OH)                    12 3-9                  33           7          12           8          27       0.818 
    80 Tennessee                     12 8-4                  60          24          10          15          49       0.817 
    81 La.-Lafayette                 12 4-8                  38          17           7           7          31       0.816 
    82 Western Mich.                 12 7-5                  54          19          14          11          44       0.815 
    83 Maryland                      12 3-9                  32          12           5           9          26       0.813 
       Cincinnati                    12 7-5                  64          23          15          14          52       0.813 
    85 Arkansas                      12 7-5                  53          21          15           7          43       0.811 
    86 Washington                    12 6-6                  47          18          10          10          38       0.809 
    87 West Virginia                 12 7-5                  52          20          10          12          42       0.808 
    88 Alabama                       13 12-1                 56          19          11          15          45       0.804 
    89 Notre Dame                    12 10-2                 50          16          12          12          40       0.800 
       Ball St.                      12 3-9                  45          13           8          15          36       0.800 
       Southern Miss.                13 9-4                  70          22          24          10          56       0.800 
       Ohio St.                      12 11-1                 50          27           6           7          40       0.800 
    93 Arkansas St.                  12 9-3                  54          21          12          10          43       0.796 
    94 Georgia St.                   12 6-6                  44          13          15           7          35       0.795 
       Rice                          12 5-7                  44          15          12           8          35       0.795 
    96 New Mexico St.                12 3-9                  39          11          13           7          31       0.795 
    97 Army West Point               11 2-9                  29          15           5           3          23       0.793 
    98 Texas A&M                     12 8-4                  51          11          17          12          40       0.784 
    99 UNLV                          12 3-9                  46          16          11           9          36       0.783 
   100 Wake Forest                   12 3-9                  32          10           5          10          25       0.781 
       UConn                         12 6-6                  32          11           4          10          25       0.781 
   102 Georgia                       12 9-3                  41          11           6          15          32       0.780 
   103 TCU                           12 10-2                 59          19          20           7          46       0.780 
   104 Boston College                12 3-9                  27          11           6           4          21       0.778 
   105 Iowa St.                      12 3-9                  40          14           9           8          31       0.775 
   106 Hawaii                        13 3-10                 31          12           8           4          24       0.774 
       Missouri                      12 5-7                  31           5           5          14          24       0.774 
   108 La.-Monroe                    13 2-11                 30           5          10           8          23       0.767 
   109 Ohio                          12 8-4                  47          18           8          10          36       0.766 
   110 New Mexico                    12 7-5                  38          22           1           6          29       0.763 
   111 Texas St.                     12 3-9                  46          20           8           7          35       0.761 
   112 UTSA                          12 3-9                  41          12          11           8          31       0.756 
   113 UCF                           12 0-12                 28           4           8           9          21       0.750 
       Kent St.                      12 3-9                  20           4           7           4          15       0.750 
   115 Akron                         12 7-5                  43          16           6          10          32       0.744 
   116 Fla. Atlantic                 12 3-9                  51          13           9          15          37       0.725 
   117 Illinois                      12 5-7                  40          11           9           9          29       0.725 
   118 Utah St.                      12 6-6                  39          15           6           7          28       0.718 
   119 North Texas                   12 1-11                 28           6           7           7          20       0.714 
   120 Colorado                      13 4-9                  54          20           6          12          38       0.704 
   121 Fresno St.                    12 3-9                  33           9           9           5          23       0.697 
   122 Massachusetts                 12 3-9                  42          11          11           7          29       0.690 
   123 Florida                       13 10-3                 48          19           9           5          33       0.688 
   124 Old Dominion                  12 5-7                  43           9          12           8          29       0.674 
   125 Kansas                        12 0-12                 30           9           7           4          20       0.667 
   126 Vanderbilt                    12 4-8                  33           6           9           6          21       0.636 
   127 Wyoming                       12 2-10                 39           9          13           2          24       0.615 
Reclassifying
    NR Charlotte                     12 2-10                 37           8           6          11          25       0.676 
