Rushing Defense
Through Games 12/05/2015
  Rank Name                           G W-L            Opp Rush     Opp Rush Yds    Yds/Rush     Opp Rush TDs         YPG 
     1 Alabama                       13 12-1                404              962        2.38                6        74.0 
     2 Boston College                12 3-9                 416              994        2.39                6        82.8 
     3 Akron                         12 7-5                 381             1077        2.83               12        89.8 
     4 Wisconsin                     12 9-3                 368             1175        3.19               11        97.9 
     5 San Diego St.                 13 10-3                450             1445        3.21               13       111.2 
     6 Utah                          12 9-3                 405             1341        3.31                9       111.8 
     7 Michigan St.                  13 12-1                414             1470        3.55               14       113.1 
     8 Nebraska                      12 5-7                 363             1361        3.75               17       113.4 
     9 Louisiana Tech                12 8-4                 401             1374        3.43               11       114.5 
    10 Iowa                          13 12-1                435             1494        3.43               10       114.9 
    11 Toledo                        11 9-2                 380             1271        3.34               10       115.5 
    12 Houston                       13 12-1                457             1508        3.30               15       116.0 
    13 Boise St.                     12 8-4                 410             1412        3.44               14       117.7 
    14 Northwestern                  12 10-2                410             1414        3.45               16       117.8 
    15 Louisville                    12 7-5                 438             1425        3.25               10       118.8 
    16 Arkansas                      12 7-5                 381             1435        3.77               24       119.6 
    17 Florida                       13 10-3                462             1568        3.39               10       120.6 
    18 Michigan                      12 9-3                 410             1471        3.59               12       122.6 
    19 Arizona St.                   12 6-6                 417             1493        3.58               16       124.4 
    20 Pittsburgh                    12 8-4                 373             1513        4.06               13       126.1 
    21 Temple                        13 10-3                437             1640        3.75               14       126.2 
    22 Ohio St.                      12 11-1                456             1528        3.35                8       127.3 
    23 Clemson                       13 13-0                452             1674        3.70               14       128.8 
    24 LSU                           11 8-3                 361             1446        4.01               14       131.5 
    25 Ga. Southern                  12 8-4                 409             1586        3.88               12       132.2 
    26 Ole Miss                      12 9-3                 466             1589        3.41                7       132.4 
    27 Missouri                      12 5-7                 484             1593        3.29               11       132.8 
    28 Appalachian St.               12 10-2                461             1603        3.48               14       133.6 
    29 Washington                    12 6-6                 465             1607        3.46               13       133.9 
    30 Central Mich.                 12 7-5                 414             1652        3.99               16       137.7 
    31 Memphis                       12 9-3                 485             1653        3.41               21       137.8 
    32 Navy                          11 9-2                 387             1524        3.94               15       138.5 
    33 South Fla.                    12 8-4                 464             1687        3.64               16       140.6 
    34 Southern Miss.                13 9-4                 462             1830        3.96               12       140.8 
    35 Middle Tenn.                  12 7-5                 443             1696        3.83               14       141.3 
    36 Florida St.                   12 10-2                440             1702        3.87                7       141.8 
