Rushing Offense
Through Games 12/05/2015
  Rank Name                           G W-L                Rush    Rush Yds    Yds/Rush     Rush TD         YPG 
     1 Ga. Southern                  12 8-4                 660        4267        6.47          47       355.6 
     2 Navy                          11 9-2                 636        3631        5.71          46       330.1 
     3 Air Force                     13 8-5                 763        4183        5.48          42       321.8 
     4 Baylor                        12 9-3                 630        3602        5.72          34       300.2 
     5 Oregon                        12 9-3                 570        3453        6.06          30       287.8 
     6 Appalachian St.               12 10-2                556        3226        5.80          23       268.8 
     7 Georgia Tech                  12 3-9                 583        3074        5.27          30       256.2 
     8 Army West Point               11 2-9                 572        2794        4.88          23       254.0 
     9 New Mexico                    12 7-5                 569        2959        5.20          38       246.6 
    10 LSU                           11 8-3                 466        2705        5.80          29       245.9 
    11 South Fla.                    12 8-4                 547        2915        5.33          25       242.9 
    12 Ohio St.                      12 11-1                513        2903        5.66          35       241.9 
    13 Houston                       13 12-1                616        3114        5.06          43       239.5 
    14 Arkansas St.                  12 9-3                 569        2830        4.97          33       235.8 
    15 San Diego St.                 13 10-3                623        3059        4.91          30       235.3 
    16 West Virginia                 12 7-5                 589        2823        4.79          25       235.3 
    17 Oklahoma                      12 11-1                541        2820        5.21          31       235.0 
    18 Arizona                       12 6-6                 494        2712        5.49          27       226.0 
    19 Stanford                      13 11-2                576        2926        5.08          32       225.1 
    20 Texas                         12 5-7                 529        2698        5.10          27       224.8 
    21 Tennessee                     12 8-4                 564        2682        4.76          27       223.5 
    22 North Carolina                13 11-2                491        2898        5.90          38       222.9 
    23 Clemson                       13 13-0                583        2888        4.95          30       222.2 
    24 TCU                           12 10-2                514        2626        5.11          23       218.8 
    25 Notre Dame                    12 10-2                447        2578        5.77          27       214.8 
    26 Toledo                        11 9-2                 459        2345        5.11          24       213.2 
    27 Alabama                       13 12-1                561        2707        4.83          28       208.2 
    28 Nevada                        12 6-6                 516        2467        4.78          22       205.6 
    29 Northern Ill.                 13 8-5                 613        2666        4.35          31       205.1 
    30 Texas Tech                    12 7-5                 438        2458        5.61          34       204.8 
       Indiana                       12 6-6                 545        2458        4.51          25       204.8 
    32 North Carolina St.            12 7-5                 489        2417        4.94          33       201.4 
    33 Maryland                      12 3-9                 441        2408        5.46          20       200.7 
    34 Western Mich.                 12 7-5                 485        2366        4.88          24       197.2 
    35 Colorado St.                  12 7-5                 492        2349        4.77          18       195.8 
    36 Georgia                       12 9-3                 445        2332        5.24          21       194.3 
    37 UNLV                          12 3-9                 500        2324        4.65          20       193.7 
    38 Northwestern                  12 10-2                563        2319        4.12          15       193.3 
    39 Arkansas                      12 7-5                 470        2311        4.92          26       192.6 
    40 Iowa                          13 12-1                530        2496        4.71          35       192.0 
    41 Southern Miss.                13 9-4                 472        2495        5.29          29       191.9 
    42 Auburn                        12 6-6                 531        2301        4.33          25       191.8 
    43 Utah                          12 9-3                 524        2253        4.30          21       187.8 
    44 Texas St.                     12 3-9                 470        2248        4.78          24       187.3 
    45 Ohio                          12 8-4                 511        2244        4.39          21       187.0 
    46 UCLA                          12 8-4                 443        2241        5.06          25       186.8 
    47 Cincinnati                    12 7-5                 480        2236        4.66          24       186.3 
    48 Memphis                       12 9-3                 532        2234        4.20          29       186.2 
    49 Pittsburgh                    12 8-4                 488        2231        4.57          18       185.9 
    50 Bowling Green                 13 10-3                513        2404        4.69          33       184.9 
    51 Arizona St.                   12 6-6                 504        2217        4.40          19       184.8 
    52 Boise St.                     12 8-4                 497        2211        4.45          32       184.3 
    53 Iowa St.                      12 3-9                 498        2184        4.39          18       182.0 
    54 San Jose St.                  12 5-7                 477        2181        4.57          23       181.8 
    55 Ole Miss                      12 9-3                 426        2173        5.10          27       181.1 
    56 Florida St.                   12 10-2                402        2171        5.40          26       180.9 
    57 New Mexico St.                12 3-9                 443        2166        4.89          16       180.5 
    58 Duke                          12 7-5                 478        2135        4.47          22       177.9 
    59 Rice                          12 5-7                 533        2131        4.00          21       177.6 
    60 Oregon St.                    12 2-10                446        2128        4.77          15       177.3 
    61 Southern California           13 8-5                 499        2290        4.59          24       176.2 
    62 Wyoming                       12 2-10                478        2081        4.35          12       173.4 
    63 Tulsa                         12 6-6                 552        2075        3.76          29       172.9 
    64 La.-Lafayette                 12 4-8                 450        2063        4.58          25       171.9 
