Sacks Allowed
Through Games 12/05/2015
  Rank Name                           G W-L           Opp Sacks     Opp Sack Yds         Avg 
     1 Air Force                     13 8-5                   2                5        0.15 
     2 Toledo                        11 9-2                   4               20        0.36 
     3 Ga. Southern                  12 8-4                   8               51        0.67 
     4 Appalachian St.               12 10-2                  9               59        0.75 
     5 New Mexico                    12 7-5                  11               79        0.92 
       Ball St.                      12 3-9                  11               78        0.92 
     7 UTEP                          12 5-7                  12               67        1.00 
       Arkansas                      12 7-5                  12               83        1.00 
     9 North Carolina                13 11-2                 14              103        1.08 
       Clemson                       13 13-0                 14               77        1.08 
       Western Ky.                   13 11-2                 14              111        1.08 
    12 Georgia                       12 9-3                  13               87        1.08 
       Kent St.                      12 3-9                  13               87        1.08 
       Nebraska                      12 5-7                  13              136        1.08 
       Indiana                       12 6-6                  13               92        1.08 
    16 Army West Point               11 2-9                  12               81        1.09 
    17 Middle Tenn.                  12 7-5                  14              144        1.17 
       Colorado St.                  12 7-5                  14               98        1.17 
    19 Akron                         12 7-5                  15              117        1.25 
       Baylor                        12 9-3                  15               86        1.25 
       Miami (FL)                    12 8-4                  15              115        1.25 
       UCLA                          12 8-4                  15              119        1.25 
       Memphis                       12 9-3                  15              105        1.25 
    24 Navy                          11 9-2                  14              107        1.27 
    25 Temple                        13 10-3                 17               91        1.31 
       Michigan St.                  13 12-1                 17              106        1.31 
    27 Utah St.                      12 6-6                  16              111        1.33 
       TCU                           12 10-2                 16               72        1.33 
       Georgia Tech                  12 3-9                  16              123        1.33 
       Buffalo                       12 5-7                  16              120        1.33 
    31 Alabama                       13 12-1                 18              143        1.38 
    32 Duke                          12 7-5                  17               87        1.42 
       Ole Miss                      12 9-3                  17              131        1.42 
       Ohio St.                      12 11-1                 17               90        1.42 
       Minnesota                     12 5-7                  17              102        1.42 
    36 San Diego St.                 13 10-3                 19              118        1.46 
       Stanford                      13 11-2                 19              101        1.46 
    38 Michigan                      12 9-3                  18               95        1.50 
       Troy                          12 4-8                  18               96        1.50 
    40 LSU                           11 8-3                  17              119        1.55 
    41 Louisiana Tech                12 8-4                  19              116        1.58 
       Auburn                        12 6-6                  19              141        1.58 
       Oregon St.                    12 2-10                 19              127        1.58 
    44 Utah                          12 9-3                  20              139        1.67 
       Texas St.                     12 3-9                  20              126        1.67 
       Illinois                      12 5-7                  20              180        1.67 
       Marshall                      12 9-3                  20              131        1.67 
    48 Southern Miss.                13 9-4                  22              171        1.69 
    49 South Fla.                    12 8-4                  21               90        1.75 
       Nevada                        12 6-6                  21              169        1.75 
       Virginia                      12 4-8                  21              127        1.75 
       Syracuse                      12 4-8                  21              119        1.75 
       Texas Tech                    12 7-5                  21              123        1.75 
       Tennessee                     12 8-4                  21              156        1.75 
       La.-Lafayette                 12 4-8                  21              137        1.75 
    56 Iowa                          13 12-1                 23              170        1.77 
    57 Notre Dame                    12 10-2                 22              134        1.83 
       Cincinnati                    12 7-5                  22              117        1.83 
    59 UCF                           12 0-12                 23              164        1.92 
       Florida St.                   12 10-2                 23              201        1.92 
    61 Arkansas St.                  12 9-3                  24              207        2.00 
       Eastern Mich.                 12 1-11                 24              164        2.00 
       Wisconsin                     12 9-3                  24              162        2.00 
       Houston                       13 12-1                 26              148        2.00 
    65 Northern Ill.                 13 8-5                  27              147        2.08 
    66 Northwestern                  12 10-2                 25              156        2.08 
       Maryland                      12 3-9                  25              152        2.08 
       Rutgers                       12 4-8                  25              207        2.08 
    69 Fla. Atlantic                 12 3-9                  26              175        2.17 
       California                    12 7-5                  26              201        2.17 
       South Carolina                12 3-9                  26              169        2.17 
       Ohio                          12 8-4                  26              167        2.17 
       Tulane                        12 3-9                  26              175        2.17 
       Central Mich.                 12 7-5                  26              188        2.17 
    75 FIU                           12 5-7                  27              185        2.25 
       North Texas                   12 1-11                 27              208        2.25 
       Fresno St.                    12 3-9                  27              183        2.25 
    78 Vanderbilt                    12 4-8                  28              178        2.33 
       Boston College                12 3-9                  28              183        2.33 
       Miami (OH)                    12 3-9                  28              177        2.33 
    81 Hawaii                        13 3-10                 31              217        2.38 
    82 Oklahoma St.                  12 10-2                 29              165        2.42 
       Old Dominion                  12 5-7                  29              159        2.42 
       Pittsburgh                    12 8-4                  29              193        2.42 
       Boise St.                     12 8-4                  29              174        2.42 
       East Carolina                 12 5-7                  29              184        2.42 
       Georgia St.                   12 6-6                  29              190        2.42 
       Massachusetts                 12 3-9                  29              173        2.42 
       Idaho                         12 4-8                  29              178        2.42 
       Western Mich.                 12 7-5                  29              158        2.42 
    91 Arizona                       12 6-6                  30              148        2.50 
       Kentucky                      12 5-7                  30              191        2.50 
       BYU                           12 9-3                  30              189        2.50 
       West Virginia                 12 7-5                  30              197        2.50 
       Purdue                        12 2-10                 30              173        2.50 
       Missouri                      12 5-7                  30              176        2.50 
    97 Mississippi St.               12 8-4                  31              191        2.58 
       Wyoming                       12 2-10                 31              234        2.58 
    99 Texas                         12 5-7                  32              212        2.67 
       Texas A&M                     12 8-4                  32              211        2.67 
       South Ala.                    12 5-7                  32              204        2.67 
       Washington                    12 6-6                  32              217        2.67 
   103 Southern California           13 8-5                  35              233        2.69 
       Bowling Green                 13 10-3                 35              215        2.69 
   105 UNLV                          12 3-9                  33              157        2.75 
       Kansas St.                    12 6-6                  33              208        2.75 
   107 Virginia Tech                 12 6-6                  34              254        2.83 
       North Carolina St.            12 7-5                  34              200        2.83 
   109 UConn                         12 6-6                  35              175        2.92 
       Oregon                        12 9-3                  35              202        2.92 
   111 La.-Monroe                    13 2-11                 38              175        2.92 
   112 Tulsa                         12 6-6                  36              254        3.00 
       San Jose St.                  12 5-7                  36              215        3.00 
       Oklahoma                      12 11-1                 36              175        3.00 
       New Mexico St.                12 3-9                  36              216        3.00 
   116 Colorado                      13 4-9                  41              288        3.15 
   117 Rice                          12 5-7                  38              228        3.17 
   118 Washington St.                12 8-4                  39              286        3.25 
       Penn St.                      12 7-5                  39              230        3.25 
       Arizona St.                   12 6-6                  39              233        3.25 
   121 Florida                       13 10-3                 43              250        3.31 
   122 Wake Forest                   12 3-9                  40              273        3.33 
       Kansas                        12 0-12                 40              267        3.33 
   124 SMU                           12 2-10                 41              289        3.42 
   125 Iowa St.                      12 3-9                  42              229        3.50 
   126 Louisville                    12 7-5                  43              301        3.58 
   127 UTSA                          12 3-9                  44              275        3.67 
Reclassifying
    NR Charlotte                     12 2-10                 42              252        3.50 
