Scoring Defense
Through Games 12/05/2015
  Rank Name                           G W-L                 TDs      Opp XP         2PT     Opp DXP     Opp FGM     Opp Saf         Pts         Avg 
     1 Wisconsin                     12 9-3                  19          19           0           0           8           0         157        13.1 
     2 Ohio St.                      12 11-1                 20          18           0           0          10           0         168        14.0 
     3 Alabama                       13 12-1                 21          17           1           0          14           0         187        14.4 
     4 Boston College                12 3-9                  19          18           0           0          17           0         183        15.3 
     5 Florida St.                   12 10-2                 21          19           0           0          14           1         189        15.8 
     6 Missouri                      12 5-7                  22          20           0           0          14           0         194        16.2 
     7 Northwestern                  12 10-2                 24          21           0           0          10           1         197        16.4 
     8 Florida                       13 10-3                 25          24           0           0          13           1         215        16.5 
     9 Georgia                       12 9-3                  24          21           1           0          12           0         203        16.9 
    10 San Diego St.                 13 10-3                 28          28           0           0           9           0         223        17.2 
    11 Michigan                      12 9-3                  23          21           1           0          15           0         206        17.2 
    12 Washington                    12 6-6                  24          21           0           0          16           0         213        17.8 
    13 Appalachian St.               12 10-2                 26          24           0           0          13           0         219        18.3 
    14 Marshall                      12 9-3                  27          24           1           0          11           0         221        18.4 
    15 Iowa                          13 12-1                 26          25           1           0          19           0         240        18.5 
    16 Temple                        13 10-3                 27          25           0           0          20           1         249        19.2 
    17 UConn                         12 6-6                  28          26           0           0          13           2         237        19.8 
    18 Clemson                       13 13-0                 33          27           1           0          12           0         263        20.2 
    19 Michigan St.                  13 12-1                 34          29           0           0          11           0         266        20.5 
       Houston                       13 12-1                 33          31           2           0          11           0         266        20.5 
    21 Oklahoma                      12 11-1                 30          27           0           0          14           0         249        20.8 
    22 Vanderbilt                    12 4-8                  26          25           0           0          23           1         252        21.0 
    23 South Fla.                    12 8-4                  29          28           0           0          17           0         253        21.1 
    24 Toledo                        11 9-2                  27          24           1           0          14           1         232        21.1 
    25 Tennessee                     12 8-4                  32          30           1           0          10           0         254        21.2 
    26 Boise St.                     12 8-4                  32          31           0           0          11           0         256        21.3 
    27 Akron                         12 7-5                  34          33           0           0           7           0         258        21.5 
    28 Texas A&M                     12 8-4                  29          28           0           0          19           0         259        21.6 
    29 Penn St.                      12 7-5                  34          32           0           0           8           0         260        21.7 
    30 Navy                          11 9-2                  30          28           2           0           9           0         239        21.7 
    31 Utah                          12 9-3                  31          29           0           0          15           1         262        21.8 
       BYU                           12 9-3                  33          31           0           0          11           0         262        21.8 
    33 Central Mich.                 12 7-5                  35          31           0           0           8           0         265        22.1 
    34 Notre Dame                    12 10-2                 35          30           1           0           9           0         269        22.4 
    35 North Carolina                13 11-2                 37          34           1           0          12           0         294        22.6 
    36 Ole Miss                      12 9-3                  31          26           1           0          20           0         274        22.8 
       Mississippi St.               12 8-4                  30          29           1           0          21           0         274        22.8 
    38 Stanford                      13 11-2                 34          28           1           0          22           0         300        23.1 
    39 West Virginia                 12 7-5                  32          29           0           0          19           0         278        23.2 
    40 Air Force                     13 8-5                  38          35           0           0          13           0         302        23.2 
    41 Illinois                      12 5-7                  34          29           1           0          14           1         279        23.3 
       Ga. Southern                  12 8-4                  35          28           1           0          13           0         279        23.3 
    43 North Carolina St.            12 7-5                  36          31           1           0          12           0         285        23.8 
    44 LSU                           11 8-3                  34          31           1           0           9           0         264        24.0 
    45 Duke                          12 7-5                  37          32           1           0          11           0         289        24.1 
    46 Southern Miss.                13 9-4                  37          34           1           0          18           1         314        24.2 
