Scoring Offense
Through Games 12/05/2015
  Rank Name                           G W-L                 TDs         PAT         2PT     Def Pts          FG         Saf         Pts         PPG 
     1 Baylor                        12 9-3                  79          76           1           0           8           0         576        48.0 
     2 Texas Tech                    12 7-5                  73          69           2           0          16           0         559        46.6 
     3 Oklahoma                      12 11-1                 71          69           0           0          18           0         549        45.8 
     4 Western Ky.                   13 11-2                 76          73           2           0          14           0         575        44.2 
     5 Bowling Green                 13 10-3                 78          72           0           0           8           0         564        43.4 
     6 Oregon                        12 9-3                  66          62           0           0          20           0         518        43.2 
     7 Memphis                       12 9-3                  63          62           1           0          22           2         512        42.7 
     8 TCU                           12 10-2                 64          57           2           0          17           2         500        41.7 
     9 Oklahoma St.                  12 10-2                 65          60           0           0          14           1         494        41.2 
    10 Arkansas St.                  12 9-3                  66          61           1           0          11           0         492        41.0 
    11 North Carolina                13 11-2                 68          63           2           0          19           0         532        40.9 
    12 Southern Miss.                13 9-4                  71          66           0           0          12           0         528        40.6 
       Houston                       13 12-1                 70          70           0           0          12           1         528        40.6 
    14 Ole Miss                      12 9-3                  62          60           0           0          17           0         483        40.3 
    15 Clemson                       13 13-0                 62          57           0           0          23           1         500        38.5 
    16 Boise St.                     12 8-4                  55          52           0           0          23           1         453        37.8 
    17 Navy                          11 9-2                  54          51           0           0          12           1         413        37.5 
    18 Stanford                      13 11-2                 62          61           0           0          17           0         484        37.2 
    19 Appalachian St.               12 10-2                 58          57           0           0          13           1         446        37.2 
    20 Arizona                       12 6-6                  56          54           0           0          17           0         441        36.8 
       Louisiana Tech                12 8-4                  55          55           0           0          18           1         441        36.8 
    22 California                    12 7-5                  56          46           4           0          16           0         438        36.5 
    23 Indiana                       12 6-6                  53          48           1           0          22           0         434        36.2 
    24 Cincinnati                    12 7-5                  53          48           2           0          21           0         433        36.1 
    25 Tulsa                         12 6-6                  55          53           0           0          16           0         431        35.9 
    26 Toledo                        11 9-2                  48          46           0           0          18           0         388        35.3 
    27 Western Mich.                 12 7-5                  54          47           2           0          16           0         423        35.3 
    28 Arkansas                      12 7-5                  56          52           4           0           8           1         422        35.2 
    29 Ohio St.                      12 11-1                 57          57           0           0           7           0         420        35.0 
    30 Southern California           13 8-5                  60          55           0           0          13           0         454        34.9 
    31 Notre Dame                    12 10-2                 54          46           1           0          15           0         417        34.8 
    32 Ga. Southern                  12 8-4                  53          51           0           0          15           1         416        34.7 
    33 Tennessee                     12 8-4                  50          50           0           0          20           1         412        34.3 
    34 Middle Tenn.                  12 7-5                  54          52           0           0          11           1         411        34.3 
    35 BYU                           12 9-3                  53          48           1           0          14           0         410        34.2 
    36 Alabama                       13 12-1                 54          52           0           0          21           2         443        34.1 
    37 Arizona St.                   12 6-6                  48          48           0           0          22           3         408        34.0 
    38 North Carolina St.            12 7-5                  55          51           1           0           7           0         404        33.7 
    39 Air Force                     13 8-5                  57          54           1           0          13           0         437        33.6 
    40 South Fla.                    12 8-4                  51          49           0           0          15           1         402        33.5 
    41 West Virginia                 12 7-5                  49          49           0           0          18           1         399        33.3 
    42 Mississippi St.               12 8-4                  51          48           0           0          14           0         396        33.0 
       Northern Ill.                 13 8-5                  56          51           0           0          14           0         429        33.0 
    44 Marshall                      12 9-3                  49          48           1           0          15           1         391        32.6 
    45 UCLA                          12 8-4                  47          44           2           0          20           0         390        32.5 
