Tackles for Loss Allowed
Through Games 12/05/2015
  Rank Name                           G W-L                 Opp STFL         Opp ATFL          Opp TFL   Opp Tackle Yds         Avg 
     1 Georgia                       12 9-3                       29               24               41              161        3.42 
     2 Toledo                        11 9-2                       30               16               38              103        3.45 
     3 Air Force                     13 8-5                       39               18               48              153        3.69 
     4 Ball St.                      12 3-9                       35               24               47              145        3.92 
     5 Miami (FL)                    12 8-4                       40               20               50              208        4.17 
     6 North Carolina                13 11-2                      42               26               55              210        4.23 
     7 Duke                          12 7-5                       46               10               51              167        4.25 
     8 Navy                          11 9-2                       45                6               48              173        4.36 
     9 Southern Miss.                13 9-4                       49               16               57              245        4.38 
    10 Stanford                      13 11-2                      42               32               58              189        4.46 
    11 Clemson                       13 13-0                      47               24               59              189        4.54 
    12 Colorado St.                  12 7-5                       44               22               55              176        4.58 
       Minnesota                     12 5-7                       46               18               55              178        4.58 
       Middle Tenn.                  12 7-5                       41               28               55              224        4.58 
    15 Buffalo                       12 5-7                       47               18               56              215        4.67 
    16 Western Ky.                   13 11-2                      45               32               61              230        4.69 
       Hawaii                        13 3-10                      51               20               61              279        4.69 
    18 Arkansas                      12 7-5                       38               38               57              182        4.75 
    19 Texas Tech                    12 7-5                       47               22               58              219        4.83 
       Idaho                         12 4-8                       50               16               58              242        4.83 
    21 Oregon St.                    12 2-10                      48               22               59              223        4.92 
       Ohio                          12 8-4                       48               22               59              259        4.92 
    23 Michigan St.                  13 12-1                      40               48               64              226        4.92 
    24 TCU                           12 10-2                      49               22               60              164        5.00 
       La.-Lafayette                 12 4-8                       56                8               60              247        5.00 
    26 Baylor                        12 9-3                       51               20               61              182        5.08 
       Auburn                        12 6-6                       49               24               61              249        5.08 
    28 Louisiana Tech                12 8-4                       51               22               62              216        5.17 
       Michigan                      12 9-3                       48               28               62              212        5.17 
       BYU                           12 9-3                       56               12               62              276        5.17 
    31 Marshall                      12 9-3                       47               32               63              227        5.25 
       Florida St.                   12 10-2                      48               30               63              305        5.25 
       Nebraska                      12 5-7                       49               28               63              260        5.25 
       California                    12 7-5                       43               40               63              299        5.25 
       Pittsburgh                    12 8-4                       57               12               63              287        5.25 
       Ohio St.                      12 11-1                      46               34               63              213        5.25 
    37 Cincinnati                    12 7-5                       42               44               64              207        5.33 
       Western Mich.                 12 7-5                       51               26               64              235        5.33 
       Indiana                       12 6-6                       49               30               64              212        5.33 
    40 Rutgers                       12 4-8                       52               26               65              293        5.42 
       Ga. Southern                  12 8-4                       56               18               65              238        5.42 
    42 Iowa                          13 12-1                      57               28               71              281        5.46 
       San Diego St.                 13 10-3                      52               38               71              231        5.46 
       Bowling Green                 13 10-3                      54               34               71              295        5.46 
    45 FIU                           12 5-7                       46               40               66              273        5.50 
       Ole Miss                      12 9-3                       52               28               66              258        5.50 
    47 Illinois                      12 5-7                       47               40               67              284        5.58 
       Nevada                        12 6-6                       50               34               67              263        5.58 
       Purdue                        12 2-10                      54               26               67              243        5.58 
       New Mexico                    12 7-5                       58               18               67              231        5.58 
       Akron                         12 7-5                       50               34               67              237        5.58 
    52 Houston                       13 12-1                      58               30               73              261        5.62 
    53 Texas A&M                     12 8-4                       54               28               68              299        5.67 
       Mississippi St.               12 8-4                       51               34               68              277        5.67 
       Appalachian St.               12 10-2                      55               26               68              191        5.67 
       Wisconsin                     12 9-3                       50               36               68              262        5.67 
    57 Memphis                       12 9-3                       51               36               69              276        5.75 
       Tulsa                         12 6-6                       53               32               69              333        5.75 
       South Carolina                12 3-9                       59               20               69              264        5.75 
    60 LSU                           11 8-3                       42               44               64              258        5.82 
    61 Vanderbilt                    12 4-8                       59               22               70              262        5.83 
    62 Utah St.                      12 6-6                       36               70               71              237        5.92 
       Tulane                        12 3-9                       60               22               71              291        5.92 
    64 Georgia St.                   12 6-6                       64               16               72              277        6.00 
       UCF                           12 0-12                      56               32               72              274        6.00 
    66 Arizona                       12 6-6                       54               38               73              246        6.08 
       Fla. Atlantic                 12 3-9                       52               42               73              305        6.08 
    68 UTEP                          12 5-7                       54               40               74              222        6.17 
       Oklahoma St.                  12 10-2                      65               18               74              285        6.17 
       South Fla.                    12 8-4                       65               18               74              240        6.17 
    71 Virginia                      12 4-8                       56               38               75              255        6.25 
    72 Texas St.                     12 3-9                       69               13               76              262        6.29 
    73 Northern Ill.                 13 8-5                       69               26               82              264        6.31 
    74 Rice                          12 5-7                       68               16               76              325        6.33 
       Washington St.                12 8-4                       66               20               76              391        6.33 
       Georgia Tech                  12 3-9                       70               12               76              300        6.33 
       North Texas                   12 1-11                      59               34               76              380        6.33 
       UCLA                          12 8-4                       68               16               76              248        6.33 
       Wyoming                       12 2-10                      62               28               76              346        6.33 
    80 Iowa St.                      12 3-9                       65               24               77              297        6.42 
       Washington                    12 6-6                       62               30               77              315        6.42 
       Central Mich.                 12 7-5                       63               28               77              288        6.42 
    83 Army West Point               11 2-9                       55               32               71              230        6.45 
    84 Alabama                       13 12-1                      69               30               84              309        6.46 
    85 West Virginia                 12 7-5                       68               20               78              295        6.50 
    86 Notre Dame                    12 10-2                      57               44               79              273        6.58 
       Oregon                        12 9-3                       61               36               79              344        6.58 
       Utah                          12 9-3                       57               44               79              270        6.58 
       Massachusetts                 12 3-9                       61               36               79              291        6.58 
    90 Old Dominion                  12 5-7                       58               44               80              269        6.67 
       Oklahoma                      12 11-1                      61               38               80              273        6.67 
       Arkansas St.                  12 9-3                       66               28               80              337        6.67 
    93 Virginia Tech                 12 6-6                       59               44               81              380        6.75 
    94 Colorado                      13 4-9                       80               16               88              423        6.77 
    95 Troy                          12 4-8                       58               48               82              304        6.83 
       Kansas St.                    12 6-6                       79                6               82              308        6.83 
       Northwestern                  12 10-2                      67               30               82              291        6.83 
    98 Southern California           13 8-5                       73               32               89              367        6.85 
    99 South Ala.                    12 5-7                       60               46               83              321        6.92 
       UNLV                          12 3-9                       66               34               83              271        6.92 
   101 La.-Monroe                    13 2-11                      68               44               90              325        6.92 
   102 Temple                        13 10-3                      76               30               91              279        7.00 
       Maryland                      12 3-9                       72               24               84              325        7.00 
       Texas                         12 5-7                       68               32               84              319        7.00 
       Kansas                        12 0-12                      70               28               84              394        7.00 
       Kentucky                      12 5-7                       64               40               84              329        7.00 
   107 Florida                       13 10-3                      73               38               92              379        7.08 
   108 Eastern Mich.                 12 1-11                      67               36               85              306        7.08 
       Syracuse                      12 4-8                       70               30               85              297        7.08 
   110 Tennessee                     12 8-4                       62               48               86              317        7.17 
   111 San Jose St.                  12 5-7                       79               16               87              349        7.25 
   112 Penn St.                      12 7-5                       76               24               88              350        7.33 
       Missouri                      12 5-7                       65               46               88              303        7.33 
   114 Miami (OH)                    12 3-9                       67               44               89              323        7.42 
       Louisville                    12 7-5                       69               40               89              409        7.42 
       Wake Forest                   12 3-9                       78               22               89              403        7.42 
   117 East Carolina                 12 5-7                       73               34               90              332        7.50 
   118 UConn                         12 6-6                       70               42               91              313        7.58 
       UTSA                          12 3-9                       74               34               91              391        7.58 
       Boise St.                     12 8-4                       72               38               91              324        7.58 
   121 North Carolina St.            12 7-5                       63               58               92              336        7.67 
   122 Arizona St.                   12 6-6                       79               28               93              352        7.75 
   123 New Mexico St.                12 3-9                       81               26               94              346        7.83 
   124 Kent St.                      12 3-9                       72               46               95              300        7.92 
   125 SMU                           12 2-10                      88               16               96              459        8.00 
   126 Boston College                12 3-9                       81               44              103              391        8.58 
   127 Fresno St.                    12 3-9                       82               46              105              353        8.75 
Reclassifying
    NR Charlotte                     12 2-10                      77               50              102              415        8.50 
