Team Passing Efficiency Defense
Through Games 12/05/2015
  Rank Name                           G W-L            Opp Pass     Opp Cpl     Opp Int     Opp Pass Yds     Opp Pass TDs    Pass Eff 
     1 Michigan                      12 9-3                 356         171           8             1905                7       94.98 
     2 Wisconsin                     12 9-3                 362         176          11             2030                6       95.12 
     3 Northwestern                  12 10-2                422         228          12             2312                5       98.27 
     4 Alabama                       13 12-1                409         201          16             2394               13      100.98 
     5 Marshall                      12 9-3                 433         214          14             2409               15      101.12 
     6 Ohio St.                      12 11-1                373         185          11             2114               12      101.92 
     7 Clemson                       13 13-0                369         170          14             2170               16      102.19 
     8 Georgia                       12 9-3                 302         156          11             1753                9      102.96 
     9 Boston College                12 3-9                 334         173          13             2058                9      104.66 
    10 Iowa                          13 12-1                472         253          18             2851               14      106.50 
    11 Florida                       13 10-3                394         211          14             2272               14      106.61 
    12 Oklahoma                      12 11-1                405         213          19             2418               18      108.03 
    13 Temple                        13 10-3                438         249          16             2643               11      108.52 
    14 Texas A&M                     12 8-4                 331         195          11             1935                8      109.35 
    15 San Diego St.                 13 10-3                350         185          20             2298               14      109.78 
    16 Florida St.                   12 10-2                397         224           7             2230               12      110.06 
    17 North Carolina                13 11-2                417         227          16             2529               16      110.37 
    18 UCLA                          12 8-4                 438         249          12             2468               17      111.51 
    19 Washington                    12 6-6                 399         228          15             2592                9      111.64 
    20 TCU                           12 10-2                407         200           7             2572               16      111.76 
    21 UConn                         12 6-6                 365         212          17             2243               13      112.14 
    22 Illinois                      12 5-7                 392         224          13             2213               17      112.24 
    23 BYU                           12 9-3                 391         217          15             2553               12      112.80 
    24 West Virginia                 12 7-5                 395         202          23             2673               20      113.05 
    25 Boise St.                     12 8-4                 390         213          22             2693               14      113.18 
    26 South Fla.                    12 8-4                 401         219          15             2647               13      113.28 
    27 Penn St.                      12 7-5                 350         202          10             2094               12      113.57 
    28 Arkansas St.                  12 9-3                 455         240          26             3023               23      113.81 
    29 Virginia Tech                 12 6-6                 309         148          10             2085               15      114.12 
    30 Missouri                      12 5-7                 354         219           9             2031               10      114.29 
    31 Appalachian St.               12 10-2                345         208          16             2213               10      114.46 
    32 Vanderbilt                    12 4-8                 387         213           6             2488               10      114.47 
    33 Minnesota                     12 5-7                 364         212           9             2189               13      115.60 
    34 Tennessee                     12 8-4                 401         206           8             2606               17      115.96 
    35 Northern Ill.                 13 8-5                 478         270          21             3034               22      116.20 
    36 Southern Miss.                13 9-4                 458         248          13             2903               22      117.57 
    37 Bowling Green                 13 10-3                484         286          20             3214               18      118.88 
    38 San Jose St.                  12 5-7                 290         161           8             1843               14      119.31 
    39 Miami (FL)                    12 8-4                 361         219          15             2355               14      119.95 
    40 Utah                          12 9-3                 435         240          19             3041               20      120.33 
    41 Air Force                     13 8-5                 350         180          11             2475               17      120.57 
    42 Louisville                    12 7-5                 373         208          16             2456               21      121.07 
    43 Georgia St.                   12 6-6                 434         257          14             2830               18      121.23 
    44 Middle Tenn.                  12 7-5                 455         266          16             2964               21      121.38 
    45 Toledo                        11 9-2                 433         255          11             2896               15      121.42 
    46 Central Mich.                 12 7-5                 358         202           6             2286               16      121.46 
    47 Auburn                        12 6-6                 421         262          13             2786               13      121.83 
    48 Ohio                          12 8-4                 397         238          11             2599               15      121.87 
    49 Ole Miss                      12 9-3                 488         292          15             3061               23      121.93 
    50 North Carolina St.            12 7-5                 342         185          12             2262               20      121.93 
    51 Colorado St.                  12 7-5                 311         169           8             2235               12      122.30 
    52 Kentucky                      12 5-7                 343         196          11             2377               14      122.41 
    53 LSU                           11 8-3                 363         208           9             2321               18      122.41 
    54 Stanford                      13 11-2                440         250           7             2959               17      122.88 
    55 Kent St.                      12 3-9                 370         199          12             2474               22      123.09 
    56 UNLV                          12 3-9                 419         238          13             2877               19      123.24 
    57 Utah St.                      12 6-6                 309         168           9             2165               15      123.42 
    58 Akron                         12 7-5                 433         254          13             2865               20      123.48 
    59 Colorado                      13 4-9                 435         249          14             2837               24      123.79 
    60 Mississippi St.               12 8-4                 396         245          11             2601               15      123.99 
    61 Notre Dame                    12 10-2                343         188           8             2351               17      124.08 
    62 Buffalo                       12 5-7                 385         217          13             2728               18      124.56 
    63 Western Ky.                   13 11-2                438         239          17             3048               26      124.85 
    64 Oklahoma St.                  12 10-2                398         229          16             2931               17      125.45 
    65 Washington St.                12 8-4                 396         254          11             2686               12      125.56 
    66 Pittsburgh                    12 8-4                 367         205          10             2618               17      125.62 
    67 East Carolina                 12 5-7                 376         204           8             2717               17      125.62 
    68 Houston                       13 12-1                452         255          17             3449               18      126.13 
    69 Michigan St.                  13 12-1                415         245          15             2988               18      126.60 
    70 Ga. Southern                  12 8-4                 331         185          17             2447               19      126.66 
    71 Georgia Tech                  12 3-9                 337         202           9             2435               12      127.04 
    72 Cincinnati                    12 7-5                 398         228           9             2692               22      127.82 
    73 Nevada                        12 6-6                 366         237          13             2472               18      130.61 
    74 Baylor                        12 9-3                 406         233          13             2792               27      130.70 
    75 Western Mich.                 12 7-5                 365         200           9             2697               21      130.92 
    76 South Ala.                    12 5-7                 337         203          10             2340               19      131.23 
    77 Louisiana Tech                12 8-4                 455         274          11             3189               24      131.67 
    78 Nebraska                      12 5-7                 465         267           8             3458               22      132.06 
    79 FIU                           12 5-7                 372         231           9             2652               17      132.22 
    80 Troy                          12 4-8                 334         195           6             2400               19      133.92 
    81 Old Dominion                  12 5-7                 404         251           8             2807               22      134.50 
    82 California                    12 7-5                 387         232          14             3022               19      134.51 
    83 South Carolina                12 3-9                 347         228          12             2549               15      134.76 
    84 Duke                          12 7-5                 351         195           9             2743               20      134.88 
    85 Massachusetts                 12 3-9                 417         259          13             3059               22      134.91 
    86 Fla. Atlantic                 12 3-9                 373         217          14             2840               23      134.98 
    87 Texas                         12 5-7                 382         229          13             2801               24      135.47 
    88 Navy                          11 9-2                 348         229           7             2540               14      136.37 
    89 Miami (OH)                    12 3-9                 375         231          10             2828               20      137.21 
    90 Memphis                       12 9-3                 403         232           9             3232               21      137.66 
    91 New Mexico                    12 7-5                 356         208          13             2855               21      137.96 
    92 Texas Tech                    12 7-5                 418         256          14             3220               24      138.20 
    93 UTSA                          12 3-9                 410         245          14             3302               22      138.28 
    94 Purdue                        12 2-10                393         245          12             2921               24      138.82 
    95 Wake Forest                   12 3-9                 322         199           6             2430               17      138.89 
    96 Oregon                        12 9-3                 508         318          12             3614               33      139.07 
    97 Southern California           13 8-5                 428         270          14             3304               24      139.89 
    98 Army West Point               11 2-9                 292         180           6             2412               12      140.48 
    99 Syracuse                      12 4-8                 388         251          11             3080               18      141.01 
   100 Fresno St.                    12 3-9                 331         206           9             2538               20      141.15 
   101 La.-Lafayette                 12 4-8                 361         189           5             2845               28      141.38 
   102 Indiana                       12 6-6                 511         311           9             3916               31      141.73 
   103 Arizona St.                   12 6-6                 465         266          13             3860               30      142.63 
   104 Hawaii                        13 3-10                364         224           3             2716               23      143.42 
   105 Arkansas                      12 7-5                 411         268          10             3414               17      143.77 
   106 Maryland                      12 3-9                 385         222           9             3101               27      143.79 
   107 Arizona                       12 6-6                 421         266           8             3298               27      146.35 
