Team Passing Efficiency
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Att    Pass Com         Int    Pass Yds     Pass TD    Pass Eff 
     1 Western Ky.                   13 11-2                508         366           7        4750          47      178.37 
     2 Baylor                        12 9-3                 371         219          12        3653          44      174.41 
     3 Oklahoma                      12 11-1                396         266           7        3695          37      172.85 
     4 Stanford                      13 11-2                297         201           7        2742          27      170.51 
     5 Appalachian St.               12 10-2                271         167           8        2422          31      168.54 
     6 Navy                          11 9-2                  90          48           2         994           7      167.33 
     7 Memphis                       12 9-3                 428         295           4        3891          30      166.55 
     8 Oregon                        12 9-3                 340         216          10        3125          32      165.91 
     9 Arkansas                      12 7-5                 348         226           7        3171          30      165.91 
    10 Bowling Green                 13 10-3                560         383           8        4889          44      164.80 
    11 Western Mich.                 12 7-5                 377         254           8        3405          28      163.51 
    12 North Carolina                13 11-2                373         239           9        3432          28      161.31 
    13 Oklahoma St.                  12 10-2                472         298          10        4288          35      159.68 
    14 Air Force                     13 8-5                 155          80          11        1698          13      157.12 
    15 TCU                           12 10-2                470         296          14        4146          37      157.10 
    16 Southern Miss.                13 9-4                 492         312          12        4263          38      156.81 
    17 Southern California           13 8-5                 430         291           6        3555          29      156.59 
    18 Ole Miss                      12 9-3                 454         296          13        4004          31      156.09 
    19 Clemson                       13 13-0                449         309          13        3750          30      155.23 
    20 California                    12 7-5                 513         327          14        4425          38      155.19 
    21 South Fla.                    12 8-4                 267         164           9        2229          24      154.47 
    22 Mississippi St.               12 8-4                 458         306           4        3733          29      154.43 
    23 Notre Dame                    12 10-2                347         219           9        3080          23      154.36 
    24 Georgia St.                   12 6-6                 467         294          11        4159          26      151.43 
    25 Houston                       13 12-1                386         257           6        3216          20      150.56 
    26 Middle Tenn.                  12 7-5                 462         308           9        3725          28      150.50 
    27 Texas Tech                    12 7-5                 564         361          14        4676          35      149.16 
    28 Tulsa                         12 6-6                 448         278           8        3958          22      148.90 
    29 Central Mich.                 12 7-5                 465         311          10        3760          25      148.25 
    30 Army West Point               11 2-9                  90          40           7         920           9      147.76 
    31 Cincinnati                    12 7-5                 516         322          19        4477          29      146.47 
    32 Louisiana Tech                12 8-4                 441         271          11        3743          25      146.47 
    33 Florida St.                   12 10-2                371         241           5        2928          20      146.35 
    34 Indiana                       12 6-6                 409         241           6        3431          24      145.82 
    35 San Jose St.                  12 5-7                 372         254          11        2793          20      143.18 
    36 Washington St.                12 8-4                 685         471          12        4764          39      142.46 
    37 BYU                           12 9-3                 448         277           9        3539          24      141.85 
    38 Ohio St.                      12 11-1                294         185           8        2244          18      141.80 
    39 Pittsburgh                    12 8-4                 322         199           6        2341          20      139.64 
    40 Iowa                          13 12-1                336         206           4        2623          15      139.24 
    41 Michigan St.                  13 12-1                401         225           6        3069          26      138.80 
    42 Miami (FL)                    12 8-4                 417         251           7        3383          17      138.43 
    43 San Diego St.                 13 10-3                240         132           3        1859          15      138.19 
    44 Colorado St.                  12 7-5                 350         211          15        2655          24      138.06 
    45 Northern Ill.                 13 8-5                 383         233          10        2880          22      137.73 
    46 East Carolina                 12 5-7                 473         321          12        3375          21      137.38 
    47 Alabama                       13 12-1                390         260          10        2786          18      136.78 
    48 Washington                    12 6-6                 362         222          11        2826          17      136.32 
    49 Boise St.                     12 8-4                 485         305          11        3655          21      135.94 
    50 Arkansas St.                  12 9-3                 336         192          13        2547          23      135.67 
    51 Wyoming                       12 2-10                308         183          11        2247          20      134.98 
    52 Arizona St.                   12 6-6                 482         291           9        3469          26      134.90 
    53 Arizona                       12 6-6                 442         260           9        3219          25      134.59 
    54 Ohio                          12 8-4                 374         225          11        2854          18      134.26 
    55 Michigan                      12 9-3                 384         238          10        2812          18      133.75 
    56 Rutgers                       12 4-8                 337         203          12        2485          19      133.66 
    57 Tennessee                     12 8-4                 341         204           5        2388          17      132.17 
    58 Virginia Tech                 12 6-6                 356         200          13        2592          23      131.36 
    59 Georgia                       12 9-3                 304         187           8        2245          12      131.31 
    60 Florida                       13 10-3                380         219           8        2744          19      130.58 
    61 Rice                          12 5-7                 373         212           9        2691          20      130.31 
    62 North Carolina St.            12 7-5                 385         234           4        2526          19      130.10 
    63 FIU                           12 5-7                 440         274           8        2854          22      129.62 
    64 Louisville                    12 7-5                 383         215          15        2959          19      129.57 
    65 Temple                        13 10-3                397         227           7        2802          20      129.56 
    66 Toledo                        11 9-2                 382         211          10        2751          22      129.50 
    67 UCLA                          12 8-4                 469         274          11        3430          20      129.24 
    68 Troy                          12 4-8                 418         250          11        2890          21      129.20 
