Team Tackles for Loss
Through Games 12/05/2015
  Rank Name                           G W-L                STFL        ATFL  Tackle Yds        TTFL       TFLPG 
     1 Boston College                12 3-9                  95          40         470         115         9.6 
     2 Missouri                      12 5-7                  78          56         373         106         8.8 
     3 Texas A&M                     12 8-4                  81          44         369         103         8.6 
     4 Arizona St.                   12 6-6                  84          34         409         101         8.4 
     5 Clemson                       13 13-0                 94          28         446         108         8.3 
     6 Penn St.                      12 7-5                  75          44         462          97         8.1 
     7 Washington St.                12 8-4                  79          34         340          96         8.0 
     8 Baylor                        12 9-3                  82          26         337          95         7.9 
     9 Temple                        13 10-3                 83          36         359         101         7.8 
    10 Ole Miss                      12 9-3                  75          36         345          93         7.8 
    11 Mississippi St.               12 8-4                  57          70         374          92         7.7 
       Appalachian St.               12 10-2                 70          44         355          92         7.7 
    13 Colorado St.                  12 7-5                  71          40         337          91         7.6 
    14 Florida                       13 10-3                 68          60         451          98         7.5 
    15 Louisville                    12 7-5                  72          36         353          90         7.5 
       South Fla.                    12 8-4                  70          40         393          90         7.5 
       Tulane                        12 3-9                  82          16         388          90         7.5 
       BYU                           12 9-3                  68          44         327          90         7.5 
    19 Oklahoma St.                  12 10-2                 76          26         319          89         7.4 
       Illinois                      12 5-7                  72          34         307          89         7.4 
    21 West Virginia                 12 7-5                  80          16         316          88         7.3 
       New Mexico                    12 7-5                  71          34         334          88         7.3 
    23 Alabama                       13 12-1                 80          30         421          95         7.3 
    24 Maryland                      12 3-9                  70          34         320          87         7.3 
    25 Utah                          12 9-3                  66          40         343          86         7.2 
       North Carolina St.            12 7-5                  64          44         308          86         7.2 
       Boise St.                     12 8-4                  68          36         301          86         7.2 
    28 San Diego St.                 13 10-3                 71          44         340          93         7.2 
    29 Pittsburgh                    12 8-4                  65          40         410          85         7.1 
       Oklahoma                      12 11-1                 69          32         355          85         7.1 
    31 Air Force                     13 8-5                  70          42         323          91         7.0 
       Southern Miss.                13 9-4                  72          38         357          91         7.0 
       Northwestern                  12 10-2                 69          30         298          84         7.0 
       Louisiana Tech                12 8-4                  68          32         357          84         7.0 
       Toledo                        11 9-2                  58          38         257          77         7.0 
    36 Miami (OH)                    12 3-9                  65          36         333          83         6.9 
       Tulsa                         12 6-6                  63          40         261          83         6.9 
       Troy                          12 4-8                  65          36         312          83         6.9 
    39 La.-Monroe                    13 2-11                 71          36         317          89         6.8 
    40 Marshall                      12 9-3                  49          66         311          82         6.8 
       Michigan                      12 9-3                  67          30         345          82         6.8 
       Kent St.                      12 3-9                  56          52         319          82         6.8 
       Washington                    12 6-6                  64          36         346          82         6.8 
    44 La.-Lafayette                 12 4-8                  70          22         231          81         6.8 
       Texas                         12 5-7                  71          20         340          81         6.8 
       Duke                          12 7-5                  64          34         381          81         6.8 
    47 Michigan St.                  13 12-1                 64          46         345          87         6.7 
       Bowling Green                 13 10-3                 62          50         319          87         6.7 
    49 Oregon                        12 9-3                  62          36         339          80         6.7 
       Vanderbilt                    12 4-8                  67          26         301          80         6.7 
    51 Arkansas St.                  12 9-3                  61          37         313          80         6.6 
    52 Ohio St.                      12 11-1                 57          44         305          79         6.6 
       Indiana                       12 6-6                  68          22         282          79         6.6 
    54 Syracuse                      12 4-8                  67          22         318          78         6.5 
    55 Hawaii                        13 3-10                 68          31         296          84         6.4 
    56 Notre Dame                    12 10-2                 68          18         301          77         6.4 
       Virginia Tech                 12 6-6                  60          34         301          77         6.4 
       Utah St.                      12 6-6                  66          22         283          77         6.4 
    59 TCU                           12 10-2                 58          36         278          76         6.3 
       Virginia                      12 4-8                  61          30         280          76         6.3 
    61 Akron                         12 7-5                  54          42         330          75         6.3 
       Minnesota                     12 5-7                  58          34         236          75         6.3 
    63 Wake Forest                   12 3-9                  54          40         280          74         6.2 
       Iowa St.                      12 3-9                  61          26         292          74         6.2 
    65 Western Ky.                   13 11-2                 70          20         292          80         6.2 
       Southern California           13 8-5                  67          26         354          80         6.2 
    67 Purdue                        12 2-10                 59          28         256          73         6.1 
    68 Eastern Mich.                 12 1-11                 59          26         239          72         6.0 
       LSU                           11 8-3                  55          22         270          66         6.0 
    70 Houston                       13 12-1                 68          18         360          77         5.9 
    71 Georgia                       12 9-3                  54          34         237          71         5.9 
    72 Kansas St.                    12 6-6                  61          16         304          69         5.8 
       Rutgers                       12 4-8                  55          28         244          69         5.8 
       Florida St.                   12 10-2                 55          28         267          69         5.8 
    75 Memphis                       12 9-3                  61          14         276          68         5.7 
       Nebraska                      12 5-7                  53          30         267          68         5.7 
       Middle Tenn.                  12 7-5                  60          16         272          68         5.7 
       FIU                           12 5-7                  50          36         250          68         5.7 
       Georgia St.                   12 6-6                  59          18         254          68         5.7 
       Arizona                       12 6-6                  60          16         284          68         5.7 
    81 Stanford                      13 11-2                 57          32         319          73         5.6 
    82 Tennessee                     12 8-4                  62          10         246          67         5.6 
       Texas Tech                    12 7-5                  54          26         194          67         5.6 
       Fla. Atlantic                 12 3-9                  52          30         331          67         5.6 
       Massachusetts                 12 3-9                  43          48         220          67         5.6 
    86 UCLA                          12 8-4                  52          28         299          66         5.5 
       Fresno St.                    12 3-9                  53          26         268          66         5.5 
       UConn                         12 6-6                  55          22         208          66         5.5 
       Nevada                        12 6-6                  55          22         235          66         5.5 
       UCF                           12 0-12                 47          38         214          66         5.5 
       Western Mich.                 12 7-5                  51          30         214          66         5.5 
    92 Wisconsin                     12 9-3                  46          38         294          65         5.4 
       UTEP                          12 5-7                  47          36         240          65         5.4 
       North Texas                   12 1-11                 54          22         220          65         5.4 
       Arkansas                      12 7-5                  45          40         253          65         5.4 
    96 South Carolina                12 3-9                  51          26         228          64         5.3 
       Buffalo                       12 5-7                  51          26         266          64         5.3 
       Idaho                         12 4-8                  60           8         230          64         5.3 
    99 Northern Ill.                 13 8-5                  57          24         252          69         5.3 
       Colorado                      13 4-9                  64          10         248          69         5.3 
   101 California                    12 7-5                  49          28         255          63         5.3 
   102 South Ala.                    12 5-7                  52          20         204          62         5.2 
       East Carolina                 12 5-7                  47          30         243          62         5.2 
       Miami (FL)                    12 8-4                  47          30         243          62         5.2 
   105 Old Dominion                  12 5-7                  40          42         243          61         5.1 
       Rice                          12 5-7                  47          28         200          61         5.1 
   107 Army West Point               11 2-9                  46          18         207          55         5.0 
   108 North Carolina                13 11-2                 53          20         246          63         4.8 
   109 SMU                           12 2-10                 52          12         196          58         4.8 
       Kansas                        12 0-12                 50          16         214          58         4.8 
   111 Ohio                          12 8-4                  45          22         214          56         4.7 
       New Mexico St.                12 3-9                  47          18         161          56         4.7 
       Central Mich.                 12 7-5                  46          20         163          56         4.7 
   114 Texas St.                     12 3-9                  46          18         206          55         4.6 
   115 Oregon St.                    12 2-10                 44          20         247          54         4.5 
   116 Iowa                          13 12-1                 44          28         274          58         4.5 
   117 Kentucky                      12 5-7                  36          34         206          53         4.4 
   118 San Jose St.                  12 5-7                  39          26         166          52         4.3 
       Wyoming                       12 2-10                 41          22         167          52         4.3 
       Ball St.                      12 3-9                  40          24         174          52         4.3 
       Cincinnati                    12 7-5                  41          22         160          52         4.3 
   122 Navy                          11 9-2                  35          24         190          47         4.3 
   123 Ga. Southern                  12 8-4                  39          24         207          51         4.3 
       UTSA                          12 3-9                  36          30         172          51         4.3 
   125 UNLV                          12 3-9                  41          19         148          51         4.2 
   126 Auburn                        12 6-6                  38          22         186          49         4.1 
   127 Georgia Tech                  12 3-9                  39          16         153          47         3.9 
Reclassifying
    NR Charlotte                     12 2-10                 71          28         292          85         7.1 
