Turnover Margin
Through Games 12/05/2015
  Rank Name                           G W-L             Fum Rec     Opp Int   Turn Gain    Fum Lost         Int   Turn Lost      Margin         Avg 
     1 San Diego St.                 13 10-3                 11          20          31           9           3          12          19        1.46 
     2 Houston                       13 12-1                 13          17          30           7           6          13          17        1.31 
     3 Navy                          11 9-2                  14           7          21           5           2           7          14        1.27 
     4 Western Ky.                   13 11-2                 14          17          31           8           7          15          16        1.23 
       Michigan St.                  13 12-1                 13          15          28           6           6          12          16        1.23 
     6 Oklahoma St.                  12 10-2                 11          16          27           4          10          14          13        1.08 
       Miami (FL)                    12 8-4                   9          15          24           4           7          11          13        1.08 
     8 Bowling Green                 13 10-3                  7          20          27           5           8          13          14        1.08 
     9 Iowa                          13 12-1                  8          18          26          10           4          14          12        0.92 
       Southern California           13 8-5                   9          14          23           5           6          11          12        0.92 
    11 West Virginia                 12 7-5                   8          23          31           7          13          20          11        0.92 
       Arkansas St.                  12 9-3                   8          26          34          10          13          23          11        0.92 
       Texas                         12 5-7                  12          13          25           8           6          14          11        0.92 
    14 North Carolina St.            12 7-5                   9          12          21           7           4          11          10        0.83 
       Oklahoma                      12 11-1                  7          19          26           9           7          16          10        0.83 
    16 Florida                       13 10-3                 11          14          25           7           8          15          10        0.77 
    17 UConn                         12 6-6                   7          17          24           6           9          15           9        0.75 
    18 Utah                          12 9-3                  10          19          29          10          11          21           8        0.67 
       South Fla.                    12 8-4                   8          15          23           6           9          15           8        0.67 
       Indiana                       12 6-6                  10           9          19           5           6          11           8        0.67 
       Nevada                        12 6-6                   7          13          20           5           7          12           8        0.67 
       Akron                         12 7-5                  12          13          25           6          11          17           8        0.67 
       Boise St.                     12 8-4                   6          22          28           9          11          20           8        0.67 
    24 LSU                           11 8-3                   7           9          16           4           5           9           7        0.64 
       Toledo                        11 9-2                  10          11          21           4          10          14           7        0.64 
    26 North Carolina                13 11-2                  9          16          25           8           9          17           8        0.62 
    27 BYU                           12 9-3                   7          15          22           6           9          15           7        0.58 
       Arkansas                      12 7-5                   7          10          17           3           7          10           7        0.58 
    29 Alabama                       13 12-1                  8          16          24           7          10          17           7        0.54 
    30 Virginia Tech                 12 6-6                  15          10          25           6          13          19           6        0.50 
       Memphis                       12 9-3                  10           9          19           9           4          13           6        0.50 
       Washington                    12 6-6                  12          15          27          10          11          21           6        0.50 
    33 Ohio                          12 8-4                   8          11          19           3          11          14           5        0.42 
       Oregon                        12 9-3                   9          12          21           6          10          16           5        0.42 
       Syracuse                      12 4-8                  12          11          23           9           9          18           5        0.42 
       South Carolina                12 3-9                   8          12          20           3          12          15           5        0.42 
       Penn St.                      12 7-5                  12          10          22          12           5          17           5        0.42 
       New Mexico                    12 7-5                  10          13          23           7          11          18           5        0.42 
       Northwestern                  12 10-2                  9          12          21           7           9          16           5        0.42 
    40 UNLV                          12 3-9                   8          13          21           4          13          17           4        0.33 
       Auburn                        12 6-6                   5          13          18           5           9          14           4        0.33 
       Ga. Southern                  12 8-4                   8          17          25          11          10          21           4        0.33 
       Florida St.                   12 10-2                  7           7          14           5           5          10           4        0.33 
       Marshall                      12 9-3                  13          14          27          11          12          23           4        0.33 
       Illinois                      12 5-7                   8          13          21           9           8          17           4        0.33 
    46 Temple                        13 10-3                  6          16          22          11           7          18           4        0.31 
    47 Tennessee                     12 8-4                   7           8          15           7           5          12           3        0.25 
       Boston College                12 3-9                  10          13          23          11           9          20           3        0.25 
       FIU                           12 5-7                   9           9          18           7           8          15           3        0.25 
       Georgia                       12 9-3                  10          11          21          10           8          18           3        0.25 
    51 Northern Ill.                 13 8-5                   6          21          27          14          10          24           3        0.23 
    52 Texas Tech                    12 7-5                  10          14          24           8          14          22           2        0.17 
       Tulsa                         12 6-6                  13           9          22          12           8          20           2        0.17 
       Pittsburgh                    12 8-4                   5          10          15           7           6          13           2        0.17 
       Appalachian St.               12 10-2                  5          16          21          11           8          19           2        0.17 
       Ohio St.                      12 11-1                  8          11          19           9           8          17           2        0.17 
       Central Mich.                 12 7-5                  11           6          17           5          10          15           2        0.17 
       Wisconsin                     12 9-3                   9          11          20           5          13          18           2        0.17 
       California                    12 7-5                  10          14          24           8          14          22           2        0.17 
    60 Tulane                        12 3-9                   8           8          16           5          10          15           1        0.08 
       Ball St.                      12 3-9                   9           7          16           6           9          15           1        0.08 
       New Mexico St.                12 3-9                  10          12          22           7          14          21           1        0.08 
       UCLA                          12 8-4                   6          12          18           6          11          17           1        0.08 
    64 Colorado                      13 4-9                   8          14          22           9          12          21           1        0.08 
    65 Stanford                      13 11-2                  5           7          12           5           7          12           0        0.00 
       Troy                          12 4-8                  13           6          19           8          11          19           0        0.00 
       TCU                           12 10-2                 11           7          18           4          14          18           0        0.00 
       Western Mich.                 12 7-5                   7           9          16           8           8          16           0        0.00 
       Buffalo                       12 5-7                   7          13          20           4          16          20           0        0.00 
       Arizona St.                   12 6-6                   6          13          19          10           9          19           0        0.00 
       Ole Miss                      12 9-3                   7          15          22           9          13          22           0        0.00 
       Utah St.                      12 6-6                  12           9          21          12           9          21           0        0.00 
    73 Georgia St.                   12 6-6                   7          14          21          11          11          22          -1       -0.08 
       Duke                          12 7-5                   8           9          17          11           7          18          -1       -0.08 
       Baylor                        12 9-3                  11          13          24          13          12          25          -1       -0.08 
       Old Dominion                  12 5-7                  10           8          18          10           9          19          -1       -0.08 
       Missouri                      12 5-7                   7           9          16           5          12          17          -1       -0.08 
       Massachusetts                 12 3-9                   5          13          18           6          13          19          -1       -0.08 
       UTSA                          12 3-9                   8          14          22          12          11          23          -1       -0.08 
    80 Southern Miss.                13 9-4                  10          13          23          13          12          25          -2       -0.15 
       Clemson                       13 13-0                  9          14          23          12          13          25          -2       -0.15 
    82 Fla. Atlantic                 12 3-9                   9          14          23          13          12          25          -2       -0.17 
       Louisiana Tech                12 8-4                   8          11          19          10          11          21          -2       -0.17 
       Rutgers                       12 4-8                   3          13          16           6          12          18          -2       -0.17 
       Kentucky                      12 5-7                   9          11          20           6          16          22          -2       -0.17 
    86 Air Force                     13 8-5                   6          11          17           9          11          20          -3       -0.23 
    87 Fresno St.                    12 3-9                  11           9          20           7          16          23          -3       -0.25 
       Kent St.                      12 3-9                   6          12          18          11          10          21          -3       -0.25 
       East Carolina                 12 5-7                   8           8          16           7          12          19          -3       -0.25 
       Washington St.                12 8-4                  10          11          21          12          12          24          -3       -0.25 
       Louisville                    12 7-5                   8          16          24          12          15          27          -3       -0.25 
       Middle Tenn.                  12 7-5                   8          16          24          18           9          27          -3       -0.25 
       Kansas St.                    12 6-6                  11           4          15           6          12          18          -3       -0.25 
    94 Texas A&M                     12 8-4                   7          11          18           8          14          22          -4       -0.33 
       Oregon St.                    12 2-10                  4           8          12           5          11          16          -4       -0.33 
       Minnesota                     12 5-7                   8           9          17          11          10          21          -4       -0.33 
    97 Arizona                       12 6-6                   5           8          13           9           9          18          -5       -0.42 
       South Ala.                    12 5-7                  10          10          20           9          16          25          -5       -0.42 
       San Jose St.                  12 5-7                   3           8          11           5          11          16          -5       -0.42 
       Purdue                        12 2-10                  9          12          21          10          16          26          -5       -0.42 
       Mississippi St.               12 8-4                   1          11          12          13           4          17          -5       -0.42 
       Notre Dame                    12 10-2                  5           8          13           9           9          18          -5       -0.42 
   103 Idaho                         12 4-8                  11           6          17           8          15          23          -6       -0.50 
       Michigan                      12 9-3                   2           8          10           6          10          16          -6       -0.50 
   105 Texas St.                     12 3-9                  11           3          14           9          12          21          -7       -0.58 
       Georgia Tech                  12 3-9                   8           9          17          14          10          24          -7       -0.58 
       Kansas                        12 0-12                  9           9          18          11          14          25          -7       -0.58 
       North Texas                   12 1-11                 14           4          18          14          11          25          -7       -0.58 
   109 Vanderbilt                    12 4-8                  11           6          17           9          16          25          -8       -0.67 
   110 Army West Point               11 2-9                   5           6          11          12           7          19          -8       -0.73 
   111 Virginia                      12 4-8                  11           4          15           6          18          24          -9       -0.75 
       La.-Lafayette                 12 4-8                   6           5          11           8          12          20          -9       -0.75 
   113 SMU                           12 2-10                  5          10          15          17           8          25         -10       -0.83 
   114 UTEP                          12 5-7                   7           5          12          13          10          23         -11       -0.92 
       Iowa St.                      12 3-9                   8           5          13          12          12          24         -11       -0.92 
       Colorado St.                  12 7-5                   7           8          15          11          15          26         -11       -0.92 
       Wyoming                       12 2-10                  5           5          10          10          11          21         -11       -0.92 
   118 Rice                          12 5-7                   8           2          10          13           9          22         -12       -1.00 
   119 Wake Forest                   12 3-9                   5           6          11           6          18          24         -13       -1.08 
       Nebraska                      12 5-7                   5           8          13           5          21          26         -13       -1.08 
       Eastern Mich.                 12 1-11                  8           4          12          11          14          25         -13       -1.08 
   122 Miami (OH)                    12 3-9                   7          10          17          12          19          31         -14       -1.17 
   123 La.-Monroe                    13 2-11                  9           5          14          11          19          30         -16       -1.23 
   124 Cincinnati                    12 7-5                   5           9          14          11          19          30         -16       -1.33 
   125 Maryland                      12 3-9                   9           9          18           7          29          36         -18       -1.50 
   126 UCF                           12 0-12                  9           4          13          10          23          33         -20       -1.67 
   127 Hawaii                        13 3-10                  8           3          11          13          21          34         -23       -1.77 
Reclassifying
