Turnovers Lost
Through Games 12/05/2015
  Rank Name                           G W-L            Fum Lost         Int   Turn Lost 
     1 Navy                          11 9-2                   5           2           7 
     2 LSU                           11 8-3                   4           5           9 
     3 Arkansas                      12 7-5                   3           7          10 
       Florida St.                   12 10-2                  5           5          10 
     5 Indiana                       12 6-6                   5           6          11 
       North Carolina St.            12 7-5                   7           4          11 
       Southern California           13 8-5                   5           6          11 
       Miami (FL)                    12 8-4                   4           7          11 
     9 Michigan St.                  13 12-1                  6           6          12 
       San Diego St.                 13 10-3                  9           3          12 
       Tennessee                     12 8-4                   7           5          12 
       Stanford                      13 11-2                  5           7          12 
       Nevada                        12 6-6                   5           7          12 
    14 Houston                       13 12-1                  7           6          13 
       Pittsburgh                    12 8-4                   7           6          13 
       Bowling Green                 13 10-3                  5           8          13 
       Memphis                       12 9-3                   9           4          13 
    18 Iowa                          13 12-1                 10           4          14 
       Oklahoma St.                  12 10-2                  4          10          14 
       Ohio                          12 8-4                   3          11          14 
       Toledo                        11 9-2                   4          10          14 
       Texas                         12 5-7                   8           6          14 
       Auburn                        12 6-6                   5           9          14 
    24 Central Mich.                 12 7-5                   5          10          15 
       FIU                           12 5-7                   7           8          15 
       UConn                         12 6-6                   6           9          15 
       Florida                       13 10-3                  7           8          15 
       BYU                           12 9-3                   6           9          15 
       Tulane                        12 3-9                   5          10          15 
       South Fla.                    12 8-4                   6           9          15 
       South Carolina                12 3-9                   3          12          15 
       Ball St.                      12 3-9                   6           9          15 
       Western Ky.                   13 11-2                  8           7          15 
    34 Michigan                      12 9-3                   6          10          16 
       Oklahoma                      12 11-1                  9           7          16 
       Western Mich.                 12 7-5                   8           8          16 
       Northwestern                  12 10-2                  7           9          16 
       San Jose St.                  12 5-7                   5          11          16 
       Oregon St.                    12 2-10                  5          11          16 
       Oregon                        12 9-3                   6          10          16 
    41 Missouri                      12 5-7                   5          12          17 
       Illinois                      12 5-7                   9           8          17 
       Ohio St.                      12 11-1                  9           8          17 
       North Carolina                13 11-2                  8           9          17 
